name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	hard_div_5p	soft_div_5p	5p_callability	hard_div_3p	soft_div_3p	3p_callability
ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1	chr20	-	122399006	122404107	122308796	122396929	0.0	0.015704584040747028	4712	0.0	0.0347927764063921	76970
ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4	chr20	+	121909101	121919034	121921622	121933006	0.0	0.04116952930378917	7627	0.0	0.02493560020607934	9705
ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1	chr20	-	116520806	116523935	116488371	116518677	NA	NA	0	NA	NA	0
ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13	chr20	+	62873513	62876437	62879493	62906006	0.0	0.042506412605349944	2729	0.0	0.02579254172322926	25046
ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1	chr20	-	54663099	54683361	54622613	54659195	0.0	0.036612576064908725	19720	0.0	0.0	33755
ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17	chr20	+	41555665	41561872	41565344	41721193	0.0	0.026413756426165575	5641	0.0	0.02737302099004227	139590
ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22	chr20	+	40734593	40746371	40746423	40761619	0.0	0.01456953642384106	9815	0.0	0.030209140201394268	12910
ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6	chr20	+	34405267	34416265	34419052	34835922	0.0	0.033235766216599	10591	0.0	0.03006250778552515	313081
ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1	chr20	-	32825060	32834571	32812636	32822744	0.0	0.031897742975587284	8684	0.0	0.002783505154639175	9700
ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1	chr20	-	26112247	26134877	25905418	26112015	0.0	0.031180179732883173	20141	0.0	0.032432947554557875	188882
ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1	chr20	-	16201914	16212373	16151796	16201779	0.0	0.039112903225806454	7440	0.0	0.031344574146130566	46260
ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8	chr20	+	14861205	14867932	14871197	15166953	0.0	0.03237410071942446	5838	0.0	0.0307973108337186	207648
ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2	chr20	+	8343942	8364861	8369427	8378977	0.0	0.022121052938773127	17133	0.0	0.028875379939209727	7896
ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1	chr25	-	61249665	61254430	61177562	61245560	0.0	0.03688853247794707	3741	0.0	0.029059201789333893	57228
ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1	chr25	-	56746285	56755809	56684708	56746213	0.0	0.024371500713579977	9109	0.0	0.030708297811878376	56304
ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3	chr25	+	55993351	55994188	55997375	56051979	0.0	0.0	802	0.0	0.0	42837
ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1	chr25	-	14342551	14362044	14270072	14340121	0.0	0.039976068747960405	18386	0.0	0.03582213731048934	64904
ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7	chr25	+	13080744	13086771	13090734	13132154	0.0	0.03242147922998987	5922	0.0	0.05067101922379398	27570
ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1	chr25	-	72728134	72741870	72702682	72728006	0.0	0.029792429792429794	12285	0.0	0.012671976828385228	22096
ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11	chr25	+	83700884	83703820	83706698	83735274	NA	NA	0	NA	NA	0
ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1	chr14	-	100780859	100781882	100760968	100778300	0.0	0.028769841269841268	1008	0.0	0.03998042916055078	14307
ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15	chr14	+	81909584	81912230	81914680	81936351	0.0	0.030775543701272057	2437	0.0	0.031424581005586594	20048
ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1	chr14	+	81569525	81666791	81669090	81681228	0.0	0.028081903358248235	75992	0.0	0.027294803302574066	10295
ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1	chr14	-	78804782	78807536	78748188	78804546	0.0	0.024793388429752067	2662	0.0	0.018503221543036512	48424
ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1	chr14	-	77280696	77292247	77184998	77280508	0.0	0.031208624929071307	10574	0.0	0.03338349979477356	80399
ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1	chr14	-	76876935	76916610	76645155	76872887	0.0	0.02259623992837959	27925	0.0	0.0341667772029889	180936
ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1	chr14	-	75346699	75347684	75341881	75343325	0.0	0.12244897959183673	294	0.0	0.0	641
ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1	chr14	-	61026164	61038400	60969401	61026015	0.0	0.035125256307390565	11217	0.0	0.031661986323393856	46649
ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1	chr14	-	38540287	38544820	38464930	38540082	0.0	0.0014796547472256474	4055	0.0	0.0380761944853715	47510
ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1	chr14	-	37881401	37907443	37747778	37877434	0.0	0.034869188468588566	24004	0.0	0.03581537023891889	111293
ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14	chr14	+	34213728	34221665	34221745	34283321	0.0	0.03228367292934639	7558	0.0	0.03195604236706069	55326
ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9	chr14	-	33233005	33254766	33217898	33230869	0.0	0.031700582881685244	19558	0.0	0.033950907551960875	10633
ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3	chr14	+	20551684	20555189	20557850	20576333	0.0	0.027958993476234855	3219	0.0	0.0385035675258726	15557
ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9	chr14	+	13021555	13027327	13030465	13085088	0.0	0.03731074260994953	5548	0.0	0.0	48776
ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24	chr10	+	12377915	12380290	12380364	12737969	0.0	0.030303030303030304	1815	0.0	0.01760005577482464	258181
ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3	chr10	+	40181327	40255061	40255647	40493982	0.0	0.030369321837601337	62168	0.0	0.02844904928660319	138212
ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1	chr10	-	77373826	77378778	77094438	77371172	0.0	0.02875203915171289	4904	0.0	0.031001111817713808	231153
ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1	chr10	-	84764673	84782720	84015542	84761424	0.0	0.03097371387883463	16853	0.0	0.029815736581758092	646303
ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20	chr10	+	91356833	91389359	91389719	91425045	0.0	0.033265764135234924	27626	0.0	0.032383342295512936	33474
ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2	chr10	+	121057730	121060545	121062907	121067682	0.0	0.05184570717544587	2411	0.0	0.04266810694031866	3703
ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1	chr22	-	44879612	44884135	44819267	44875290	0.0	0.03155911446066886	4246	0.0	0.007660054829866151	49608
ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2	chr22	+	50750541	50754708	50757342	50777049	0.0	0.04168023445131879	3071	0.0	0.03521866533974678	18087
ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8	chr15	+	68660478	68665060	68665259	69181611	0.0	0.027545721381801763	4429	0.0	0.030459464484134703	462582
ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2	chr22	-	4524252	4536224	4522407	4522597	0.0	0.03552082408311873	11261	0.0	0.015706806282722512	191
ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10	chr22	+	5830159	5833158	5833401	5844779	0.0	0.03193033381712627	2756	NA	NA	0
ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3	chr22	+	6132364	6135267	6136516	6164988	0.0	0.03998118532455315	2126	NA	NA	0
ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1	chr22	-	78406764	78406966	78050111	78406586	0.0	0.024630541871921183	203	0.0	0.02911139241374815	291501
