#	gene	chrom	strand	hg19_exon_start	hg19_exon_end	hg18_exon_start	hg18_exon_end	hg18_rec_region_start	hg18_rec_region_end	avg_rec_rate	divergence
1	FNDC10	chr1	-	1533388	1535476	1598008	1600096	1575724	1709986	1.741705556	0.000957396
2	SPSB1	chr1	+	9427507	9429591	9367448	9369532	9364650	9377753	1.423344154	0.001918465
3	CTNNBIP1	chr1	-	9908334	9910834	9848276	9850776	9844093	9856859	3.224856297	0.00159936
4	FBLIM1	chr1	+	16111043	16113084	15784548	15786589	15780028	15787962	2.878658023	0.001469148
5	KLHDC7A	chr1	+	18807424	18812493	18480930	18485999	18451854	18551293	2.255935463	0.003747535
6	FAM43B	chr1	+	20878932	20881513	20552439	20555020	20545343	20562698	2.202489064	0.001549187
7	HTR1D	chr1	-	23518388	23521222	23191895	23194729	23191912	23194719	0.89261819	0.002116402
8	PATJ	chr1	+	62626580	62629592	62160908	62163920	62160359	62169602	2.126461502	0.000995685
9	ANKRD13C	chr1	-	70724685	70728530	70259002	70262847	70250872	70272567	4.308309089	0.000520021
10	NEGR1	chr1	-	71868625	71873253	71402942	71407570	71401559	71409445	1.728477446	0.001944264
11	PTGFR	chr1	+	79002091	79006386	78536406	78540701	78536013	78542415	4.691736925	0.003026071
12	TGFBR3	chr1	-	92145900	92149414	91680343	91683857	91678954	91702146	5.890760248	0.00056899
13	EVI5	chr1	-	92974253	92979527	92508696	92513970	92503777	92515359	1.477188719	0.000568828
14	PLPPR5	chr1	-	99355801	99358660	98890245	98893104	98888935	98893540	1.908158296	0.001048951
15	CDC14A	chr1	+	100983807	100985833	100518251	100520277	100501607	100524621	1.575624531	0.00098668
16	PRMT6	chr1	+	107599267	107601916	107056645	107059294	107054152	107059726	0.501917799	0.001510004
17	NTNG1	chr1	+	108023233	108027521	107480611	107484899	107480739	107484899	1.233603696	0.000233155
18	MAN1A2	chr1	+	118065447	118068320	117522825	117525698	117523037	117525418	1.245883864	0.001391788
19	TBX15	chr1	-	119425666	119428139	118883043	118885516	118879490	118895349	3.094724832	0.000404204
20	GOLPH3L	chr1	-	150618701	150621224	150646225	150648748	150646335	150648657	1.3912437	0.000396197
21	CTSS	chr1	-	150702672	150705621	150730196	150733145	150725234	150735346	1.702964275	0.001016949
22	KPRP	chr1	+	152732037	152734529	152759561	152762053	152758952	152767757	1.643533531	0.001604493
23	ASH1L	chr1	-	155447677	155452240	155477886	155482449	155477924	155482442	2.525201122	0.000438212
24	MPZL1	chr1	+	167757057	167761156	167787820	167791919	167787851	167791862	1.727129759	0.000243902
25	DNM3	chr1	+	172376912	172381857	172407772	172412717	172407860	172412258	3.016054308	0.001213101
26	TNFSF4	chr1	-	173152870	173156004	173183731	173186865	173183827	173186727	1.142885485	0.000318979
27	KIAA0040	chr1	-	175126123	175130282	175156987	175161146	175157087	175161108	7.962897792	0.000240385
28	IER5	chr1	+	181057638	181059979	181088502	181090843	181088736	181090624	1.251902932	0.001708672
29	LRRN2	chr1	-	204586301	204589346	204617173	204620218	204617463	204619973	1.3165534	0.001313198
30	KCNK2	chr1	+	215408171	215410436	215234828	215237093	215235436	215236057	3.659593333	0
31	ESRRG	chr1	-	216676588	216680525	216503246	216507183	216504008	216506575	1.540454	0.001015744
32	TLR5	chr1	-	223282748	223286377	223109406	223113035	223042561	223159936	1.43395	0.000826446
33	CCDC185	chr1	+	223566715	223568812	223393373	223395470	223393674	223394461	1.71187525	0.000953289
34	MAP10	chr1	+	232940638	232946092	232804892	232810346	232805116	232810134	0.511693375	0.001099908
35	GNG4	chr1	-	235710985	235715537	235547685	235552237	235547849	235552223	2.427366182	0.002415989
36	GREM2	chr1	-	240652873	240656776	240489573	240493476	240489647	240492044	3.571878333	0.001536885
37	CNST	chr1	+	246829002	246831884	246665700	246668582	246666314	246668054	3.449574	0.002774887
38	TRIM58	chr1	+	248039202	248043440	247875900	247880138	247875992	247880043	2.50450375	0.001179523
39	RSAD2	chr2	+	7035909	7038363	6895778	6898232	6870151	7068829	6.499692334	0.002443992
40	KCNF1	chr2	+	11052063	11054351	10911937	10914225	10910138	10915803	4.080177828	0
41	KCNS3	chr2	+	18112217	18114225	17930950	17932958	17874564	18041810	1.582081549	0.00149328
42	RHOB	chr2	+	20646832	20649206	20447071	20449445	20427072	20648383	1.695630928	0.002105263
43	ASXL2	chr2	-	25962253	25967345	25739384	25744476	25739400	25744385	4.441081307	0.002159827
44	KIF3C	chr2	-	26203242	26205443	25980373	25982574	25976763	25984556	2.063602461	0.000454133
45	PPP1CB	chr2	+	29022065	29025806	28799199	28802940	28796865	28807532	4.219737308	0.000534474
46	C2orf71	chr2	-	29284556	29287933	29061690	29065067	29061246	29067111	3.919322639	0.001184133
47	LBH	chr2	+	30480299	30482899	30257433	30260033	30150376	30382970	1.014490808	0.000768935
48	LCLAT1	chr2	+	30862983	30867091	30640117	30644225	30382970	30693895	1.189180752	0.001216841
49	SPAST	chr2	+	32379443	32382706	32154374	32157637	31871372	32168946	3.463196732	0.000919118
50	CDC42EP3	chr2	-	37869025	37873965	37641882	37646822	37535263	37723992	1.305565675	0.001214329
51	PRKCE	chr2	+	46411874	46415129	46184735	46187990	46039192	46241875	1.768999255	0.001535627
52	APLF	chr2	+	68804952	68807294	68577820	68580162	68513521	70448194	2.121244304	0.00128041
53	ANTXR1	chr2	+	69472357	69476459	69245225	69249327	68513521	70448194	4.205595751	0.001706069
54	SFXN5	chr2	-	73169165	73172228	72942036	72945099	72940610	72952543	4.986583925	0.001631854
55	TET3	chr2	+	74273405	74275538	74046278	74048411	74030728	74053180	1.185915933	0.000937207
56	RNF103	chr2	-	86830516	86832541	86603393	86605418	86599299	86609001	2.272080605	0.000493583
57	SH3RF3	chr2	+	110259080	110262213	109501503	109504636	109501516	109504533	0.802091209	0.000957243
58	CCDC93	chr2	-	118673054	118677972	117915478	117920396	117914974	117921136	3.400628701	0.001016467
59	NXPH2	chr2	-	139426727	139429235	138669157	138671665	138667906	138673803	3.903293453	0.001195695
60	KCNJ3	chr2	+	155711239	155714864	154854727	154858352	154854845	154858275	0.672185733	0.000827358
61	SDPR	chr2	-	192699031	192701443	191834305	191836717	191826555	191836754	1.552774	0.001243266
62	SATB2	chr2	-	200134223	200137395	199269500	199272672	199270452	199271859	9.2915925	0.000630318
63	PARD3B	chr2	+	206480180	206484886	205615456	205620162	205616203	205619928	1.394876667	0.001912452
64	IRS1	chr2	-	227596033	227600966	226731317	226736250	226731519	226735700	0.844806706	0.002229428
65	SH3BP4	chr2	+	235949532	235951891	235040888	235043247	235041233	235041640	6.0849075	0.000423729
66	LRRN1	chr3	+	3886048	3891518	3844364	3849834	3844386	3849809	2.114814722	0.000731128
67	RAD18	chr3	-	8918880	8923143	8877196	8881459	8877220	8881433	3.460191694	0.003518649
68	HRH1	chr3	+	11300689	11304939	11259003	11263253	11180682	11271802	4.812095233	0.002822865
69	FGD5	chr3	+	14860469	14863103	14818962	14821596	14719227	14888989	4.0945598	0.000379507
70	NR1D2	chr3	+	24018714	24022109	23977223	23980618	23973852	23980748	2.432502236	0.000294464
71	CX3CR1	chr3	-	39304985	39308009	39263494	39266518	39261610	39266696	1.738439541	0.001322314
72	POMGNT2	chr3	-	43120721	43123028	43079229	43081536	43071443	43084044	0.899939873	0.000866551
73	TCAIM	chr3	+	44448934	44450940	44407442	44409448	44323998	44745821	6.150004772	0
74	ZNF660	chr3	+	44635506	44637557	44594014	44596065	44323998	44745821	5.785608427	0.000974659
75	ZNF35	chr3	+	44700193	44702283	44658701	44660791	44323998	44745821	3.415477192	0.00143472
76	ZPLD1	chr3	+	102196287	102198685	102477443	102479841	102395065	102494292	2.093473435	0.002085071
77	CBLB	chr3	-	105374305	105378073	105655461	105659229	105655562	105659159	1.933441466	0.001326612
78	CCDC14	chr3	-	123632269	123634565	123913422	123915718	123913025	123918103	1.82971162	0.000870701
79	PRR23C	chr3	-	138760944	138763734	139042102	139044892	139042161	139044812	1.134001996	0.000716589
80	WWTR1	chr3	-	149235022	149238776	149517235	149520989	149515968	149527506	4.110029995	0.001065246
81	COMMD2	chr3	-	149456257	149459505	149738470	149741718	149738572	149741682	2.43538643	0.000615574
82	MME	chr3	+	154898149	154901518	155180360	155183729	155180448	155183610	4.294447533	0.002077151
83	C3orf80	chr3	+	159943423	159946000	160225636	160228213	160224658	160230164	4.028274	0.000775795
84	FNDC3B	chr3	+	172114954	172118493	172397164	172400703	172397239	172400683	2.472006862	0.000282486
85	C3orf70	chr3	-	184795838	184801351	185078050	185083563	185078713	185083277	1.881728992	0.003264418
86	FGF12	chr3	-	191857182	191861916	192139393	192144127	192139569	192143732	1.34496075	0.001055966
87	MB21D2	chr3	-	192514604	192517439	192796815	192799650	192796961	192798837	3.872277933	0.002820874
88	FBXO45	chr3	+	196311004	196315930	196584133	196589059	196584228	196588983	3.753325669	0.00060889
89	NRROS	chr3	+	196386623	196388875	196659752	196662004	196657994	196663703	3.077573522	0.006216696
90	WFS1	chr4	+	6302384	6304992	6300657	6303265	6299555	6305528	2.81553757	0.002299732
91	PPP2R2C	chr4	-	6322305	6325320	6320578	6323593	6318792	6325662	3.307839663	0.001657825
92	PSAPL1	chr4	-	7432021	7436700	7430294	7434973	7428333	7435010	4.150487159	0.002564103
93	DRD5	chr4	+	9783258	9785633	9781634	9784009	9781086	9784497	1.81210657	0
94	PCDH7	chr4	+	31144095	31148423	31142473	31146801	31142573	31146759	1.002303685	0.000693001
95	TLR6	chr4	-	38825325	38831158	38823704	38829537	38814262	39002519	1.608769325	0.003600206
96	GABRG1	chr4	-	46037786	46043271	46035769	46041254	46031563	46046651	5.662416447	0.002005469
97	SPATA18	chr4	+	52961046	52963471	52094880	52097305	52093003	52099205	4.174137809	0.001236603
98	CEP135	chr4	+	56897526	56899529	56031360	56033363	56020586	56037352	4.293314982	0.000499002
99	GNRHR	chr4	-	68619532	68621804	67753814	67756086	67748053	67758655	4.093506135	0.000440141
100	MUC7	chr4	+	71346516	71348714	70480799	70482997	70479318	70494473	5.260601992	0.001364256
101	UTP3	chr4	+	71554196	71556268	70688479	70690551	70684913	70705937	3.748493281	0.000964785
102	PARM1	chr4	+	75971373	75975325	75046163	75050115	75046164	75050108	1.719797743	0.000758917
103	RCHY1	chr4	-	76404247	76407876	75479037	75482666	75477921	75483859	2.841847867	0.001928375
104	SHROOM3	chr4	+	77659914	77663079	76738761	76741926	76735618	76744724	5.233503419	0.000947568
105	SOWAHB	chr4	-	77816082	77819002	76894929	76897849	76884682	76901326	1.672020743	0.000684697
106	TIGD2	chr4	+	90033968	90036052	89112817	89114901	89109387	89119046	0.989345407	0.000479616
107	GPRIN3	chr4	-	90165429	90171384	89244278	89250233	89244433	89250155	2.988535484	0.001175285
108	CCSER1	chr4	+	92519723	92523370	91598572	91602219	91596204	91603349	0.800091601	0.001644737
109	CXXC4	chr4	-	105389463	105393523	104468306	104472366	104468329	104472339	2.887422571	0.000984979
110	ANK2	chr4	+	114302613	114304896	113381457	113383740	113374478	113387793	1.779647862	0.000875657
111	ARSJ	chr4	-	114821440	114824831	113900284	113903675	113900119	113909647	1.781531025	0
112	TRAM1L1	chr4	-	118004710	118006736	117083554	117085580	117083592	117085416	7.807780757	0.00049334
113	FAT4	chr4	+	126237567	126242741	125316412	125321586	125315904	125324743	0.816473781	0.00057971
114	PCDH10	chr4	+	134111296	134115765	133190141	133194610	133190043	133199041	1.10729261	0.000447427
115	RNF150	chr4	-	141786725	141789533	140865571	140868379	140858624	140874419	1.833968375	0.001067996
116	DCHS2	chr4	-	155410456	155412877	154489304	154491725	154483718	154491736	0.734580056	0
117	FSTL5	chr4	-	162305044	162307601	161383892	161386449	161384008	161386449	0.676777974	0.002345582
118	TKTL2	chr4	-	164392247	164395047	163471095	163473895	163471154	163473374	1.31856043	0.001785077
119	MFAP3L	chr4	-	170907748	170913460	169986597	169992309	169986776	169992171	4.236339333	0.001225276
120	GLRA3	chr4	-	175563162	175565215	174642011	174644064	174638411	174645835	1.2867	0.000486855
121	ADAM29	chr4	+	175896497	175899331	174975346	174978180	174973706	174984391	0.813709	0.003174603
122	ENPP6	chr4	-	185009859	185012535	184088706	184091382	184085763	184093277	2.87319705	0
123	UBE2QL1	chr5	+	6491331	6496834	6491218	6496721	6491234	6496721	2.441458602	0.001635174
124	ADAMTS12	chr5	-	33523640	33527471	33523535	33527366	33500803	33664663	2.706379739	0.000521921
125	RXFP3	chr5	+	33936491	33939023	33936386	33938918	33933158	33941348	8.541714578	0.001184366
126	TMEM267	chr5	-	43444354	43446659	43444252	43446557	43426588	43448719	4.155859992	0
127	SNX18	chr5	+	53839009	53842416	54543179	54546586	54539205	54551643	3.847411068	0.002053991
128	HTR1A	chr5	-	63255875	63258119	63960048	63962292	63953953	63963618	1.002105725	0.001336303
129	RNF180	chr5	+	63665442	63668696	64369615	64372869	64369375	64377205	1.525282717	0.00030722
130	ADAMTS6	chr5	-	64444563	64447772	65148736	65151945	65143740	65155612	2.930570841	0.000623053
131	GCNT4	chr5	-	74323289	74326724	75027464	75030899	75009457	75063094	5.02289596	0.000291036
132	HOMER1	chr5	-	78669647	78672020	79373824	79376197	79370265	79381442	3.867483231	0.00042123
133	TMEM167A	chr5	-	82348665	82352973	83052846	83057154	83052952	83057152	6.138155901	0.001624507
