name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	div_5p	5p_callability	div_3p	3p_callability
ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1	chr20	-	122399006	122404107	122308796	122396929	0.015280136	4712	0.030128622	76970
ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4	chr20	+	121909101	121919034	121921622	121933006	0.034351645	7627	0.022874807	9705
ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1	chr20	-	116520806	116523935	116488371	116518677	NA	0	NA	0
ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13	chr20	+	62873513	62876437	62879493	62906006	0.037742763	2729	0.022997684	25046
ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1	chr20	-	54663099	54683361	54622613	54659195	0.034939148	19720	0.0	33755
ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17	chr20	+	41555665	41561872	41565344	41721193	0.023931927	5641	0.024536142	139590
ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22	chr20	+	40734593	40746371	40746423	40761619	0.012735609	9815	0.023470178	12910
ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6	chr20	+	34405267	34416265	34419052	34835922	0.030875271	10591	0.026542652	313081
ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1	chr20	-	32825060	32834571	32812636	32822744	0.027752188	8684	0.002783505	9700
ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1	chr20	-	26112247	26134877	25905418	26112015	0.028945931	20141	0.028509863	188882
ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1	chr20	-	16201914	16212373	16151796	16201779	0.028763441	7440	0.028772157	46260
ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8	chr20	+	14861205	14867932	14871197	15166953	0.029462145	5838	0.02716135	207648
ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2	chr20	+	8343942	8364861	8369427	8378977	0.018677406	17133	0.025329281	7896
ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1	chr25	-	61249665	61254430	61177562	61245560	0.031007752	3741	0.024568393	57228
ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1	chr25	-	56746285	56755809	56684708	56746213	0.022505215	9109	0.028612532	56304
ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3	chr25	+	55993351	55994188	55997375	56051979	0.0	802	0.0	42837
