name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	div_5p	5p_callability	div_3p	3p_callability
ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9487849	9493301	9495383	9581383	0.00456073	4166	0.003906805	70390
ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	10000138	10000282	9986157	9999459	NA	0	0.00395044	11138
ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15991639	15995052	15997102	16027654	0.002686968	2233	0.002589462	27805
ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71499808	71503806	71470411	71498833	0.002589332	3862	0.002136512	26679
ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79875403	79893473	79895156	79895427	0.004819718	16391	0.0	272
ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93150508	93156416	93007396	93149094	0.002581756	5810	0.003113311	132335
ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999801	94025627	93984436	93999484	0.002241463	22753	0.002210861	14474
ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100459135	100469981	100031314	100456275	0.001910585	10468	0.003543746	393369
ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102107092	102116581	102118609	102127765	0.003224073	9305	0.003238053	8956
ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109158538	109169177	109170393	109638623	0.002214946	10384	0.002974639	429632
ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120056513	120060529	120009820	120052791	0.003424658	3796	0.002833354	40235
ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118680855	118683534	118684465	118992862	0.00234192	2562	0.002911375	262419
ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134651514	134671238	134637585	134646948	0.001655531	16913	0.001901382	7889
ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147143420	147149259	147152262	147226948	0.001923413	5719	0.003576231	69906
ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151881164	151890651	151890723	151897279	0.001284247	9344	0.002824389	6019
ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152673570	152674396	152605222	152670432	0.003731343	804	0.004267473	59520
