name	exon	chr	strand	closest_rec_start_pos	closest_rec_end_pos	4Ner/kp_rec_rate	inversion_sites
ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122308820	122404058	0.190993605	NA
ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4/4	chr20	+	121909099	121936597	0.075086152	NA
ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1/8	chr20	-	116488272	116523839	0.171673799	NA
ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13/13	chr20	+	62873668	62905362	0.031923298	NA
ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1/2	chr20	-	54648232	54683325	0.252128972	NA
ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41098643	42173854	0.00195	NA
ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22/22	chr20	+	40733650	40761854	0.000386009	NA
ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34405282	34836122	0.266344652	NA
ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32812636	32834991	0.85569036	NA
ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1/6	chr20	-	25905464	26135031	0.243867721	NA
ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1/13	chr20	-	16151855	16212345	0.356041015	NA
ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8/8	chr20	+	14861015	15166938	0.409721126	NA
ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2/27	chr20	+	8344728	8378913	5.9997e-05	NA
ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1/6	chr25	-	61177497	61254506	0.09311274	NA
ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1/21	chr25	-	56684614	56755665	0.299882549	NA
ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3/3	chr25	+	55993369	56051990	0.395549018	NA
ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1/7	chr25	-	14270112	14361692	0.530062667	NA
ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7/7	chr25	+	13081019	13140073	0.140698158	NA
ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1/2	chr25	-	72702960	72741628	0.080261819	NA
ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11/11	chr25	+	83700824	83735564	0.346861572	NA
ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1/6	chr14	-	100760962	100781936	0.998356918	NA
ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15/15	chr14	+	81909272	81936525	0.037067185	NA
ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1/8	chr14	+	81569571	81681283	0.045722599	NA
ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1/8	chr14	-	78748646	78808165	0.034867706	NA
ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1/3	chr14	-	77184964	77291923	0.167512617	NA
ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1/7	chr14	-	76645238	76918908	0.156011021	NA
ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1/17	chr14	-	75340776	75349319	6.0049e-05	NA
ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1/13	chr14	-	60969347	61036764	1.476736891	NA
ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1/10	chr14	-	38465496	38545365	2.9999e-05	NA
ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1/18	chr14	-	37747254	37907388	0.101636242	NA
ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14/14	chr14	+	34213938	34283310	0.01475911	NA
ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9/12	chr14	-	33217026	33254819	5.0009e-05	NA
ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3/3	chr14	+	20551874	20574542	3.1807e-05	NA
ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9/9	chr14	+	13021507	13085176	0.293397195	NA
ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24/24	chr10	+	16629855	16629855	0.27081	NA
