name	exon	chr	strand	closest_rec_start_pos	closest_rec_end_pos	4Ner/kp_rec_rate	inversion_sites
ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9488079	9580839	2.573090395	NA
ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9986181	10001045	0.082225377	NA
ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15991633	16027634	0.773019944	NA
ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71469966	71503455	0.664033324	NA
ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79875368	79895799	0.237506583	NA
ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93007680	93156296	0.191825153	NA
ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93984239	94025979	0.149661188	NA
ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100031074	100470002	0.874836005	NA
ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102106830	102127197	0.173523297	NA
ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109158868	109638710	0.728640494	NA
ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120010257	120060527	0.557124349	NA
ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118680821	118991660	0.600649031	NA
ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134637836	134671607	0.10222543	NA
ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147144646	147226876	0.537626766	NA
ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151881067	151896501	0.81878042	NA
ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152605989	152674175	0.246023817	NA
ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195765359	195955115	0.367027288	NA
ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197036292	197088182	1.304908711	NA
ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216346972	216386936	2.06990036	NA
ENSPTRT00000004013	ENSPTRG00000002189_ex8/8	chr1	+	227756430	227792518	0.321561655	NA
ENSPTRT00000021671	ENSPTRG00000011629_ex6/6	chr2a	+	7057957	7072428	0.012257895	NA
ENSPTRT00000021847	ENSPTRG00000011726_ex1/12	chr2a	-	26263545	26292480	1.198105201	NA
ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26525561	26649805	0.158288666	NA
ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29429976	29440271	0.091532589	NA
ENSPTRT00000058994	ENSPTRG00000030525_ex3/3	chr2a	+	30910396	30957394	0.590554811	NA
ENSPTRT00000065094	ENSPTRG00000011801_ex6/6	chr2a	+	31292122	31620443	0.464758039	NA
ENSPTRT00000021983	ENSPTRG00000011812_ex17/17	chr2a	+	32882890	32892290	0.700865426	NA
ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47247949	47322628	0.475137	NA
ENSPTRT00000022336	ENSPTRG00000012004_ex13/13	chr2a	+	70056839	70094511	0.071238028	NA
ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70717996	70792135	0.462619971	NA
ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74461782	74528605	0.189510573	NA
ENSPTRT00000022460	ENSPTRG00000012075_ex1/9	chr2a	+	75593545	75652328	0.10597438	NA
ENSPTRT00000058811	ENSPTRG00000012157_ex1/4	chr2a	-	88532159	88558084	0.538460675	NA
ENSPTRT00000022899	ENSPTRG00000012336_ex11/11	chr2a	+	110815201	110875088	0.126045753	NA
ENSPTRT00000023012	ENSPTRG00000012394_ex1/24	chr2b	-	118132384	118537574	1.044866838	NA
ENSPTRT00000023256	ENSPTRG00000012547_ex3/3	chr2b	+	159354962	159673351	0.176498145	NA
ENSPTRT00000023639	ENSPTRG00000012755_ex1/2	chr2b	-	196793882	197144362	0.283152799	NA
ENSPTRT00000023678	ENSPTRG00000012779_ex1/12	chr2b	-	204316902	204694687	0.174863676	NA
ENSPTRT00000023808	ENSPTRG00000012838_ex23/23	chr2b	+	211141493	211211349	0.722660015	NA
ENSPTRT00000045320	ENSPTRG00000013066_ex4/6	chr2b	+	241275468	241283973	0.225076426	NA
ENSPTRT00000027268	ENSPTRG00000014583_ex1/13	chr3	-	9088374	9151694	0.414517325	NA
ENSPTRT00000027418	ENSPTRG00000014656_ex1/20	chr3	+	15151309	15198132	1.452607607	NA
ENSPTRT00000027488	ENSPTRG00000014696_ex8/8	chr3	+	24567347	25101603	0.571043988	NA
ENSPTRT00000027680	ENSPTRG00000014808_ex1/2	chr3	-	43937919	44049669	0.341149074	NA
ENSPTRT00000027695	ENSPTRG00000014815_ex11/11	chr3	+	45378177	45460371	0.077031085	NA
ENSPTRT00000027714	ENSPTRG00000014822_ex4/4	chr3	+	45640156	45676647	0.135186704	NA
ENSPTRT00000065779	ENSPTRG00000015180_ex16/16	chr3	+	106476409	106828584	0.416271456	NA
ENSPTRT00000028392	ENSPTRG00000015184_ex1/19	chr3	-	108983178	109731279	0.742442139	NA
