name	exon	chr	strand	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	hard_div_5p	soft_div_5p	5p_callability	hard_div_3p	soft_div_3p	3p_callability
ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9487849	9493301	9495383	9581383	0.004800768122899664	0.004800768122899664	4166	0.0043045887199886345	0.0043045887199886345	70390
ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	10000138	10000282	9986157	9999459	NA	NA	0	0.004399353564374214	0.004399353564374214	11138
ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15991639	15995052	15997102	16027654	0.003134796238244514	0.003134796238244514	2233	0.00276928609962237	0.00276928609962237	27805
ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71499808	71503806	71470411	71498833	0.002589331952356292	0.002589331952356292	3862	0.002211477191798793	0.002211477191798793	26679
ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79875403	79893473	79895156	79895427	0.005063754499420414	0.005063754499420414	16391	0.0	0.0	272
ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93150508	93156416	93007396	93149094	0.0025817555938037868	0.0025817555938037868	5810	0.0033097819926701175	0.0033097819926701175	132335
ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999801	94025627	93984436	93999484	0.002329363160901859	0.002329363160901859	22753	0.0022799502556307863	0.0022799502556307863	14474
ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100459135	100469981	100031314	100456275	0.0020061138708444785	0.0020061138708444785	10468	0.0037522021308237304	0.0037522021308237304	393369
ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102107092	102116581	102118609	102127765	0.0032240730789897904	0.0032240730789897904	9305	0.0033497096918267085	0.0033497096918267085	8956
ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109158538	109169177	109170393	109638623	0.0022149460708782744	0.0022149460708782744	10384	0.003156189483092507	0.003156189483092507	429632
ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120056513	120060529	120009820	120052791	0.0036880927291886197	0.0036880927291886197	3796	0.0030073319249409717	0.0030073319249409717	40235
ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118680855	118683534	118684465	118992862	0.00234192037470726	0.00234192037470726	2562	0.0030866667428806603	0.0030866667428806603	262419
ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134651514	134671238	134637585	134646948	0.0019511618281795068	0.0019511618281795068	16913	0.0019013816706806947	0.0019013816706806947	7889
ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147143420	147149259	147152262	147226948	0.0020982689281342894	0.0020982689281342894	5719	0.0037335850999914173	0.0037335850999914173	69906
ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151881164	151890651	151890723	151897279	0.0012842465753424657	0.0012842465753424657	9344	0.002824389433460708	0.002824389433460708	6019
ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152673570	152674396	152605222	152670432	0.0037313432835820895	0.0037313432835820895	804	0.004519489247311828	0.004519489247311828	59520
