name	exon	chr	strand	start	end	4Ner/kb	4Ner
ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9487849	9581383	2.655643180768491	24535.626384566083
ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9986157	10000282	0.08295974584070798	25216.281873129486
ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15991639	16027654	0.3334685800360961	37406.93601547763
ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71470411	71503806	0.6500972220392274	98379.36637892034
ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79875403	79895427	0.2313084114063124	101761.66502627754
ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93007396	93156416	0.2032941280365052	116449.94980298921
ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93984436	94025627	0.1387221436721614	116515.07834935743
ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100031314	100469981	0.9346994074092653	122495.7824051653
ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102107092	102127765	0.18121845885938181	125803.77267255429
ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109158538	109638623	0.5448458298009726	133997.23919873903
ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120009820	120060529	0.5291982997101105	144060.17006843546
ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118680855	118992862	0.7122629909585368	143152.43385267365
ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134637585	134671238	0.10635803821353222	151369.0164563092
ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147143420	147226948	0.5627462217460014	175225.25178302903
ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151881164	151897279	0.7216089121936083	182751.44599725897
ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152605222	152674396	0.269659271691676	180914.81785852025
ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195765572	195955031	0.46603155796240836	223131.59128271102
ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197036266	197088178	1.2925903480890737	218433.9513223819
ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216346694	216387205	2.034122981659303	247749.3629295644
ENSPTRT00000004013	ENSPTRG00000002189_ex8/8	chr1	+	227757204	227792786	0.3615425437018718	274253.81603170285
ENSPTRT00000021671	ENSPTRG00000011629_ex6/6	chr2a	+	7057950	7071124	0.01245011689691817	11516.74848036185
ENSPTRT00000021847	ENSPTRG00000011726_ex1/12	chr2a	-	26263697	26292891	2.4923484462560803	35856.50830118658
ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26526512	26649665	0.18334735337344596	35452.80613472313
ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29429964	29440622	0.12783431131544382	37857.30589859224
ENSPTRT00000058994	ENSPTRG00000030525_ex3/3	chr2a	+	30910343	30956544	0.5920610201077899	39045.754425132924
ENSPTRT00000065094	ENSPTRG00000011801_ex6/6	chr2a	+	31291447	31620242	0.48697304566675326	39898.73784317907
ENSPTRT00000021983	ENSPTRG00000011812_ex17/17	chr2a	+	32882604	32892672	0.6799407111640842	42612.47562296831
ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47247514	47322615	0.46931789949534614	60696.76382839373
ENSPTRT00000022336	ENSPTRG00000012004_ex13/13	chr2a	+	70056863	70094973	0.07308655680923642	81757.42208029187
ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70718002	70792327	0.4455254986881936	82428.08139627676
ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74460447	74528462	0.19370653076527242	85069.01147456621
ENSPTRT00000022460	ENSPTRG00000012075_ex1/9	chr2a	+	75593903	75652267	0.11986022308272225	85511.27248946893
ENSPTRT00000058811	ENSPTRG00000012157_ex1/4	chr2a	-	88531982	88557949	0.6798633819848271	103271.97491226772
ENSPTRT00000022899	ENSPTRG00000012336_ex11/11	chr2a	+	110815293	110875076	0.14511120351939513	135199.8217962215
ENSPTRT00000023012	ENSPTRG00000012394_ex1/24	chr2b	-	118132583	118537288	1.076421536279513	14791.292058041667
ENSPTRT00000023256	ENSPTRG00000012547_ex3/3	chr2b	+	159355098	159674076	0.18565415690110285	70843.87063722407
ENSPTRT00000023639	ENSPTRG00000012755_ex1/2	chr2b	-	196793191	197144327	0.3037506974790393	98894.51989595295
ENSPTRT00000023678	ENSPTRG00000012779_ex1/12	chr2b	-	204316641	204694685	0.20839954314841663	103244.45939094413
ENSPTRT00000023808	ENSPTRG00000012838_ex23/23	chr2b	+	211141513	211211512	0.661833655623652	108468.99313821408
ENSPTRT00000045320	ENSPTRG00000013066_ex4/6	chr2b	+	241275498	241285272	0.7018848557397175	152129.47343839201
ENSPTRT00000027268	ENSPTRG00000014583_ex1/13	chr3	-	9087974	9151353	0.4723834162735289	22531.767235119514
ENSPTRT00000027418	ENSPTRG00000014656_ex1/20	chr3	+	15151879	15198500	1.1004508539070372	31938.44231572418
ENSPTRT00000027488	ENSPTRG00000014696_ex8/8	chr3	+	24567166	25101569	0.6208576639352702	42633.16015450275
ENSPTRT00000027680	ENSPTRG00000014808_ex1/2	chr3	-	43937558	44049379	0.4038678198191753	60527.73900405471
ENSPTRT00000027695	ENSPTRG00000014815_ex11/11	chr3	+	45378132	45459391	0.07185314020600796	61098.43063258086
ENSPTRT00000027714	ENSPTRG00000014822_ex4/4	chr3	+	45640700	45676828	0.328332274136404	61691.140837271436
ENSPTRT00000065779	ENSPTRG00000015180_ex16/16	chr3	+	106476392	106829250	0.4832181471300066	122206.16762084264
ENSPTRT00000028392	ENSPTRG00000015184_ex1/19	chr3	-	108983088	109731688	0.8508828662169381	126278.6618291525
ENSPTRT00000047540	ENSPTRG00000015519_ex1/7	chr3	-	154310159	154387139	1.556207292023901	170027.92247325552
ENSPTRT00000028957	ENSPTRG00000015520_ex1/5	chr3	-	154563656	154611115	0.875332079268421	167938.4882584689
ENSPTRT00000029012	ENSPTRG00000015550_ex22/22	chr3	+	160160982	160518426	0.3820109849095242	176940.94950007054
ENSPTRT00000029140	ENSPTRG00000015629_ex26/26	chr3	+	177618726	177781134	0.36361600752426	189311.76767431988
ENSPTRT00000057970	ENSPTRG00000030030_ex1/2	chr3	-	190440197	190663925	0.763556691339483	207432.69677444725
ENSPTRT00000029344	ENSPTRG00000015747_ex1/2	chr3	-	198419326	198511985	1.0667830946804953	221669.2573164017
ENSPTRT00000029429	ENSPTRG00000015783_ex3/3	chr3	+	202219392	202261035	1.2005383262493097	242795.20347688944
ENSPTRT00000029656	ENSPTRG00000015883_ex1/10	chr4	-	6430437	6497585	1.4445234487996663	16541.269883338056
ENSPTRT00000029879	ENSPTRG00000016024_ex9/9	chr4	+	86666167	87329909	0.8613156374012785	102255.25363817641
ENSPTRT00000029926	ENSPTRG00000016054_ex1/13	chr4	-	78347885	78552752	0.10673410969067733	95903.70879839883
ENSPTRT00000030001	ENSPTRG00000016100_ex1/3	chr4	+	62595070	62634979	0.7699588904758324	77086.88176510684
ENSPTRT00000030048	ENSPTRG00000016131_ex1/3	chr4	-	60100930	60122360	0.20234780541297248	74630.06232734107
ENSPTRT00000060211	ENSPTRG00000031197_ex1/4	chr4	-	55213053	55455696	0.3143778249939212	67912.87469155477
ENSPTRT00000030102	ENSPTRG00000016170_ex9/9	chr4	+	55008791	55359873	0.20130577164309185	67778.7309950045
ENSPTRT00000030136	ENSPTRG00000016190_ex8/22	chr4	-	53718600	53722330	0.920624764075067	71717.68639205121
ENSPTRT00000030138	ENSPTRG00000016191_ex1/3	chr4	+	53488026	53563603	0.23318370972650412	66942.9737520445
ENSPTRT00000030393	ENSPTRG00000016332_ex1/3	chr4	-	107428686	107830782	0.8336441550525256	121327.80394705686
ENSPTRT00000050131	ENSPTRG00000016382_ex46/46	chr4	+	116903639	116912219	4.364163958041958	116056.52938105664
ENSPTRT00000030477	ENSPTRG00000016384_ex1/2	chr4	-	117370674	117481791	0.39897480565530025	130495.24887145111
ENSPTRT00000067874	ENSPTRG00000024046_ex1/17	chr4	+	127790041	128792914	0.5689408375237945	139637.85246751257
ENSPTRT00000030573	ENSPTRG00000016444_ex5/5	chr4	+	136752028	138838362	0.46557036955252734	150957.1074195466
ENSPTRT00000030731	ENSPTRG00000016532_ex9/9	chr4	-	158646901	158722321	1.5362566323256432	164413.0722258259
ENSPTRT00000030780	ENSPTRG00000016559_ex1/14	chr4	-	165453479	165679991	0.527541959940312	171079.91928964586
ENSPTRT00000030832	ENSPTRG00000016591_ex1/3	chr4	-	174296667	174430114	0.4136516725741306	182165.51551598022
ENSPTRT00000030854	ENSPTRG00000016607_ex2/11	chr4	-	179138639	179146052	0.3517347295292055	170936.8855319915
ENSPTRT00000030892	ENSPTRG00000016636_ex1/8	chr4	-	188536290	188751680	1.032117009285483	209422.8570529763
ENSPTRT00000065618	ENSPTRG00000033811_ex2/2	chr5	+	6614030	6707095	1.6023143280502865	19032.628225785105
ENSPTRT00000031146	ENSPTRG00000016776_ex25/25	chr5	+	82210814	82342944	0.4404167434344965	92820.0294884185
ENSPTRT00000031260	ENSPTRG00000016848_ex3/3	chr5	+	72071408	72093976	0.04115974610067352	83462.4694949777
ENSPTRT00000031287	ENSPTRG00000016868_ex1/2	chr5	-	61149087	61404512	0.7027340043456987	77554.42433714755
ENSPTRT00000031364	ENSPTRG00000016919_ex1/7	chr5	-	51249329	51344985	0.5998719133143763	68466.13289539136
ENSPTRT00000055696	ENSPTRG00000016927_ex25/25	chr5	+	50512822	50716620	0.15505602670291163	68324.19526969163
ENSPTRT00000031562	ENSPTRG00000017026_ex9/9	chr5	+	36404111	36527340	0.24714085312710488	53984.91355988981
ENSPTRT00000046825	ENSPTRG00000017053_ex4/4	chr5	+	32598463	32995496	0.47105842995418434	49898.68232975631
ENSPTRT00000031610	ENSPTRG00000017057_ex11/11	chr5	+	31686336	31834386	0.2639660572104016	48926.47691442418
ENSPTRT00000031692	ENSPTRG00000017102_ex5/5	chr5	+	99754980	99811300	0.1558755596590909	112339.25330790946
ENSPTRT00000065106	ENSPTRG00000030296_ex1/8	chr5	-	103862190	104169516	0.3571872999030347	116196.53855862512
ENSPTRT00000055454	ENSPTRG00000017328_ex4/4	chr5	+	142764073	142801051	0.27841890042728107	147991.29247734445
ENSPTRT00000032348	ENSPTRG00000017494_ex1/11	chr5	-	163364546	163415536	0.19789828201608153	164720.15764402266
ENSPTRT00000042784	ENSPTRG00000017575_ex5/23	chr5	+	179584334	179601637	0.23287187655319888	195204.4795338311
ENSPTRT00000032567	ENSPTRG00000017614_ex1/22	chr5	-	181502445	181564332	2.070283107922504	195390.25229027343
ENSPTRT00000032773	ENSPTRG00000017734_ex1/2	chr6	-	13574261	13608754	1.4014185426028476	27177.8851861306
ENSPTRT00000025457	ENSPTRG00000017749_ex4/4	chr6	+	17626511	17695429	1.6931359850837226	32451.228417562073
ENSPTRT00000032882	ENSPTRG00000017795_ex7/7	chr6	+	26470324	26495458	0.8651053938887562	43477.82191423518
ENSPTRT00000033498	ENSPTRG00000018121_ex7/7	chr6	+	38215198	38244765	0.24245212534244262	58163.81096298573
ENSPTRT00000033704	ENSPTRG00000023379_ex1/10	chr6	-	45647490	45958509	0.6083109710660763	65709.26254558882
ENSPTRT00000033733	ENSPTRG00000018244_ex18/18	chr6	+	48716797	48741546	0.9032209660996404	73406.89467078881
ENSPTRT00000033819	ENSPTRG00000018296_ex4/4	chr6	+	56173391	56302580	0.3741549363335888	78918.10376793974
ENSPTRT00000065002	ENSPTRG00000033954_ex5/7	chr6	+	78845684	78889335	7.6717830061167e-05	105845.39662916028
ENSPTRT00000034105	ENSPTRG00000018454_ex1/8	chr6	-	106826291	106862282	0.03298354144091577	130920.17897650614
ENSPTRT00000034125	ENSPTRG00000018466_ex1/8	chr6	-	108961542	109003637	0.5700932963534863	133153.90998323236
ENSPTRT00000034267	ENSPTRG00000018553_ex1/5	chr6	-	120773460	120832831	0.1672587332199221	142551.78084900323
ENSPTRT00000034280	ENSPTRG00000018560_ex2/2	chr6	+	123499810	123899335	0.6304353787622807	145523.20084931396
ENSPTRT00000034346	ENSPTRG00000018599_ex7/7	chr6	+	133555959	133716304	0.805659182450341	153804.4573032153
ENSPTRT00000034488	ENSPTRG00000018680_ex74/74	chr6	+	147387175	147650013	0.6676370338383338	166072.2980707737
ENSPTRT00000034506	ENSPTRG00000018689_ex9/9	chr6	+	151704519	151856281	0.871205814169555	171751.8798083913
ENSPTRT00000034507	ENSPTRG00000018690_ex7/7	chr6	+	152068099	152129792	0.2008875444539899	165437.90680259606
ENSPTRT00000056737	ENSPTRG00000018724_ex1/12	chr6	-	156479137	157001238	0.9073455449999146	177999.17913433467
ENSPTRT00000046568	ENSPTRG00000028664_ex5/5	chr7	+	6667422	6682300	0.14782091611775777	14527.178484985214
ENSPTRT00000064559	ENSPTRG00000034402_ex1/10	chr7	-	16021592	16293917	0.5402049881575326	35198.39779501118
ENSPTRT00000035061	ENSPTRG00000018970_ex6/6	chr7	+	21783359	21816031	0.7312030059378058	44183.10568062999
ENSPTRT00000035249	ENSPTRG00000019072_ex16/16	chr7	+	34550550	34635491	0.5730450644565052	59862.25535478057
ENSPTRT00000066596	ENSPTRG00000019246_ex6/6	chr7	+	65767521	65771872	0.009284350723971501	103496.47359936612
ENSPTRT00000035749	ENSPTRG00000019320_ex1/2	chr7	-	75574905	75738641	0.2752153101944594	123264.72486834275
ENSPTRT00000035882	ENSPTRG00000019389_ex8/50	chr7	+	91622563	91632059	0.0027199999999999998	142378.04685155328
ENSPTRT00000049139	ENSPTRG00000019463_ex1/7	chr7	-	99731620	99744447	0.07504189522101816	151142.98317796993
ENSPTRT00000036325	ENSPTRG00000019612_ex2/2	chr7	+	116702613	116715251	0.3164056417154613	171273.99168180517
ENSPTRT00000036343	ENSPTRG00000019623_ex1/6	chr7	+	119649924	120783245	0.2556849352831194	171929.5926443129
ENSPTRT00000036389	ENSPTRG00000019646_ex2/2	chr7	-	125119601	125158885	1.337630578352509	173610.09948853066
ENSPTRT00000036463	ENSPTRG00000019683_ex12/12	chr7	+	130169157	130277375	0.44280439760483453	178642.45134203695
ENSPTRT00000050296	ENSPTRG00000019732_ex2/5	chr7	-	136487516	136499940	0.5463712363168062	173841.05843075356
ENSPTRT00000055141	ENSPTRG00000028363_ex6/8	chr7	-	149748404	149752863	0.4222939291320924	199794.18275532697
ENSPTRT00000036878	ENSPTRG00000019904_ex2/3	chr7	+	155825936	155832704	0.0006900000000000001	221076.74038964638
ENSPTRT00000036980	ENSPTRG00000019946_ex14/14	chr8	+	6682116	6727401	0.2384023453682235	15014.91962741411
