use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122396930	122399005	122396930	122399005	2076	122399006	122404107	5102	122308796	122396929	88134
Y	ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4/4	chr20	+	121919035	121921621	121919035	121921621	2587	121909101	121919034	9934	121921622	121933006	11385
Y	ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1/8	chr20	-	116518678	116520805	116518678	116520805	2128	116520806	116523935	3130	116488371	116518677	30307
Y	ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13/13	chr20	+	62876438	62879492	62876438	62879492	3055	62873513	62876437	2925	62879493	62906006	26514
Y	ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1/2	chr20	-	54659196	54663098	54659196	54663098	3903	54663099	54683361	20263	54622613	54659195	36583
Y	ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41561873	41565343	41561873	41565343	3471	41555665	41561872	6208	41565344	41721193	155850
Y	ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22/22	chr20	+	40746372	40746422	40746372	40746422	51	40734593	40746371	11779	40746423	40761619	15197
Y	ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34416266	34419051	34416266	34419051	2786	34405267	34416265	10999	34419052	34835922	416871
Y	ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32822745	32825059	32822745	32825059	2315	32825060	32834571	9512	32812636	32822744	10109
Y	ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1/6	chr20	-	26112016	26112246	26112016	26112246	231	26112247	26134877	22631	25905418	26112015	206598
Y	ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1/13	chr20	-	16201780	16201913	16201780	16201913	134	16201914	16212373	10460	16151796	16201779	49984
Y	ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8/8	chr20	+	14867933	14871196	14867933	14871196	3264	14861205	14867932	6728	14871197	15166953	295757
Y	ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2/27	chr20	+	8364862	8369426	8364862	8369426	4565	8343942	8364861	20920	8369427	8378977	9551
Y	ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1/6	chr25	-	61245561	61249664	61245561	61249664	4104	61249665	61254430	4766	61177562	61245560	67999
Y	ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1/21	chr25	-	56746214	56746284	56746214	56746284	71	56746285	56755809	9525	56684708	56746213	61506
Y	ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3/3	chr25	+	55994189	55997374	55994189	55997374	3186	55993351	55994188	838	55997375	56051979	54605
Y	ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1/7	chr25	-	14340122	14342550	14340122	14342550	2429	14342551	14362044	19494	14270072	14340121	70050
Y	ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7/7	chr25	+	13086772	13090733	13086772	13090733	3962	13080744	13086771	6028	13090734	13132154	41421
Y	ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1/2	chr25	-	72728007	72728133	72728007	72728133	127	72728134	72741870	13737	72702682	72728006	25325
Y	ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11/11	chr25	+	83703821	83706697	83703821	83706697	2877	83700884	83703820	2937	83706698	83735274	28577
Y	ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1/6	chr14	-	100778301	100780858	100778301	100780858	2558	100780859	100781882	1024	100760968	100778300	17333
Y	ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15/15	chr14	+	81912231	81914679	81912231	81914679	2449	81909584	81912230	2647	81914680	81936351	21672
Y	ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1/8	chr14	+	81666792	81669089	81666792	81669089	2298	81569525	81666791	97267	81669090	81681228	12139
Y	ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1/8	chr14	-	78804547	78804781	78804547	78804781	235	78804782	78807536	2755	78748188	78804546	56359
Y	ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1/3	chr14	-	77280509	77280695	77280509	77280695	187	77280696	77292247	11552	77184998	77280508	95511
Y	ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1/7	chr14	-	76872888	76876934	76872888	76876934	4047	76876935	76916610	39676	76645155	76872887	227733
Y	ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1/17	chr14	-	75343326	75346698	75343326	75346698	3373	75346699	75347684	986	75341881	75343325	1445
Y	ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1/13	chr14	-	61026016	61026163	61026016	61026163	148	61026164	61038400	12237	60969401	61026015	56615
Y	ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1/10	chr14	-	38540083	38540286	38540083	38540286	204	38540287	38544820	4534	38464930	38540082	75153
Y	ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1/18	chr14	-	37877435	37881400	37877435	37881400	3966	37881401	37907443	26043	37747778	37877434	129657
Y	ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14/14	chr14	+	34221666	34221744	34221666	34221744	79	34213728	34221665	7938	34221745	34283321	61577
Y	ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9/12	chr14	-	33230870	33233004	33230870	33233004	2135	33233005	33254766	21762	33217898	33230869	12972
Y	ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3/3	chr14	+	20555190	20557849	20555190	20557849	2660	20551684	20555189	3506	20557850	20576333	18484
Y	ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9/9	chr14	+	13027328	13030464	13027328	13030464	3137	13021555	13027327	5773	13030465	13085088	54624
Y	ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24/24	chr10	+	12380291	12380363	12380291	12380363	73	12377915	12380290	2376	12380364	12737969	357606
Y	ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3/3	chr10	+	40255062	40255646	40255062	40255646	585	40181327	40255061	73735	40255647	40493982	238336
