name	exon	chr	strand	start	end	4Ner/kb	4Ner
ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122308796	122404107	0.1905571625520664	38145.90308084432
ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4/4	chr20	+	121909101	121933006	0.10008157080108765	37996.44084066143
ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1/8	chr20	-	116488371	116523935	0.20851918400629849	35793.27303039028
ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13/13	chr20	+	62873513	62906006	0.011112798448896686	20662.289984998373
ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1/2	chr20	-	54622613	54683361	0.2287845165272932	16164.31095541159
ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41555665	41721193	0.00185	12232.543976
ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22/22	chr20	+	40734593	40761619	0.000386650262709983	12137.507248368456
ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34405267	34835922	0.22031909730526728	10326.923316951767
ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32812636	32834571	0.8114530718030543	9484.458337717067
ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1/6	chr20	-	25905418	26134877	0.04751208041523756	7152.33906186734
ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1/13	chr20	-	16151796	16212373	0.34222641068392307	4813.327559015847
ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8/8	chr20	+	14861205	15166953	0.3441552139343513	4162.631347326744
ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2/27	chr20	+	8343942	8378977	6.000000000000003e-05	2588.0083430531463
ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1/6	chr25	-	61177562	61254430	0.12726098441484093	22665.79293269771
ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1/21	chr25	-	56684708	56755809	0.16835040421372421	21609.46268384018
ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3/3	chr25	+	55993351	56051979	0.32729040901958106	21437.72946111274
ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1/7	chr25	-	14270072	14362044	0.6136323199452003	6610.694740670245
ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7/7	chr25	+	13080744	13132154	0.48041507197043376	6134.18073492278
ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1/2	chr25	-	72702682	72741870	0.04573199499846892	25410.940849886927
ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11/11	chr25	+	83700884	83735274	0.3114393730735678	28809.8676883611
ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1/6	chr14	-	100760968	100781882	1.1075422884192403	22906.32960510481
ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15/15	chr14	+	81909584	81936351	0.024454255239660775	19550.917799756673
ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1/8	chr14	+	81569525	81681228	0.030939205482395284	19540.011064026214
ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1/8	chr14	-	78748188	78807536	0.01717610820920671	19071.06866701915
