name	exon	chr	strand	start	end	div	callability
ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9493302	9495382	0.002531646	1975
ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9999460	10000137	0.003100775	645
ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15995053	15997101	0.001998002	2002
ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71498834	71499807	0.001040583	961
ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79893474	79895155	0.00476758	1678
ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93149095	93150507	0.000724113	1381
ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999485	93999800	0.0	315
ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100456276	100459134	0.002496434	2804
ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102116582	102118608	0.001521298	1972
ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109169178	109170392	0.000914913	1093
ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120052792	120056512	0.001934236	3619
ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118683535	118684464	0.002283105	876
ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134646949	134651513	0.000660211	4544
ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147149260	147152261	0.00335233	2983
ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151890652	151890722	0.0	70
ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152670433	152673569	0.002249357	3112
ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195786129	195788368	0.000905387	2209
ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197078233	197082179	0.002320186	3879
ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216369694	216370827	0.001831502	1092
ENSPTRT00000004013	ENSPTRG00000002189_ex8/8	chr1	+	227760227	227761653	0.002120141	1415
ENSPTRT00000021671	ENSPTRG00000011629_ex6/6	chr2a	+	7058985	7061434	0.005412157	2402
ENSPTRT00000021847	ENSPTRG00000011726_ex1/12	chr2a	-	26283896	26290686	0.003065134	6525
ENSPTRT00000021848	ENSPTRG00000011727_ex8/8	chr2a	-	26539037	26541239	0.001311475	1525
ENSPTRT00000021944	ENSPTRG00000011788_ex9/9	chr2a	+	29432567	29436300	0.001916758	3652
ENSPTRT00000058994	ENSPTRG00000030525_ex3/3	chr2a	+	30921815	30922430	0.0	579
ENSPTRT00000065094	ENSPTRG00000011801_ex6/6	chr2a	+	31309373	31313493	0.002743142	4010
ENSPTRT00000021983	ENSPTRG00000011812_ex17/17	chr2a	+	32886232	32887643	0.005710207	1401
ENSPTRT00000022122	ENSPTRG00000011890_ex16/16	chr2a	+	47260951	47261098	0.0	148
ENSPTRT00000022336	ENSPTRG00000012004_ex13/13	chr2a	+	70061484	70061687	0.0	204
ENSPTRT00000022345	ENSPTRG00000012011_ex18/18	chr2a	+	70744093	70748039	0.002324981	3871
ENSPTRT00000022428	ENSPTRG00000012056_ex1/14	chr2a	-	74519757	74520290	0.0	461
ENSPTRT00000022460	ENSPTRG00000012075_ex1/9	chr2a	+	75638723	75640818	0.000543183	1841
ENSPTRT00000058811	ENSPTRG00000012157_ex1/4	chr2a	-	88552342	88554370	0.0009995	2001
ENSPTRT00000022899	ENSPTRG00000012336_ex11/11	chr2a	+	110816898	110817067	0.0	142
ENSPTRT00000023012	ENSPTRG00000012394_ex1/24	chr2b	-	118527120	118531968	0.002111041	4737
ENSPTRT00000023256	ENSPTRG00000012547_ex3/3	chr2b	+	159427814	159429587	0.000572738	1746
ENSPTRT00000023639	ENSPTRG00000012755_ex1/2	chr2b	-	197137071	197139465	0.002263468	2209
ENSPTRT00000023678	ENSPTRG00000012779_ex1/12	chr2b	-	204673186	204676366	0.000983607	3050
ENSPTRT00000023808	ENSPTRG00000012838_ex23/23	chr2b	+	211175266	211175624	0.0	348
ENSPTRT00000045320	ENSPTRG00000013066_ex4/6	chr2b	+	241278403	241280763	0.00139795	2146
ENSPTRT00000027268	ENSPTRG00000014583_ex1/13	chr3	-	9145339	9146922	0.003836317	1564
ENSPTRT00000027418	ENSPTRG00000014656_ex1/20	chr3	+	15174539	15177064	0.002534854	2367
ENSPTRT00000027488	ENSPTRG00000014696_ex8/8	chr3	+	24571774	24574298	0.001602564	2496
ENSPTRT00000027680	ENSPTRG00000014808_ex1/2	chr3	-	44034944	44037242	0.0014171	2117
ENSPTRT00000027695	ENSPTRG00000014815_ex11/11	chr3	+	45381392	45383401	0.0	1975
ENSPTRT00000027714	ENSPTRG00000014822_ex4/4	chr3	+	45643711	45645801	0.001448576	2071
ENSPTRT00000065779	ENSPTRG00000015180_ex16/16	chr3	+	106476592	106476824	0.008583691	233
ENSPTRT00000028392	ENSPTRG00000015184_ex1/19	chr3	-	109724912	109725877	0.002116402	945
ENSPTRT00000047540	ENSPTRG00000015519_ex1/7	chr3	-	154380871	154384629	0.001935306	3617
ENSPTRT00000028957	ENSPTRG00000015520_ex1/5	chr3	-	154605675	154606646	0.0	963
ENSPTRT00000029012	ENSPTRG00000015550_ex22/22	chr3	+	160165016	160168391	0.002404569	3327
ENSPTRT00000029140	ENSPTRG00000015629_ex26/26	chr3	+	177626908	177630438	0.000860338	3487
ENSPTRT00000057970	ENSPTRG00000030030_ex1/2	chr3	-	190627840	190628424	0.001736111	576
