use?	name	exon	chr	strand	UCSC_start	UCSC_end	exon_start	exon_end	exon_len	intergenic_5p_start	intergenic_5p_end	intergenic_5p_len	intergenic_3p_start	intergenic_3p_end	intergenic_3p_len
Y	ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9493302	9495382	9493302	9495382	2081	9487849	9493301	5453	9495383	9581383	86001
Y	ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9999460	10000137	9999460	10000137	678	10000138	10000282	145	9986157	9999459	13303
N	ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15995053	15995870	15995053	15997101	2049	15991639	15995052	3414	15997102	16027654	30553
Y	ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71498834	71499807	71498834	71499807	974	71499808	71503806	3999	71470411	71498833	28423
N	ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79893474	79895155	79893474	79895155	1682	79875403	79893473	18071	79895156	79895427	272
Y	ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93149095	93150507	93149095	93150507	1413	93150508	93156416	5909	93007396	93149094	141699
Y	ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999485	93999800	93999485	93999800	316	93999801	94025627	25827	93984436	93999484	15049
Y	ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100456276	100459134	100456276	100459134	2859	100459135	100469981	10847	100031314	100456275	424962
Y	ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102116582	102118608	102116582	102118608	2027	102107092	102116581	9490	102118609	102127765	9157
Y	ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109169178	109170392	109169178	109170392	1215	109158538	109169177	10640	109170393	109638623	468231
N	ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120052792	120056512	120052792	120056512	3721	120056513	120060529	4017	120009820	120052791	42972
Y	ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118683535	118684464	118683535	118684464	930	118680855	118683534	2680	118684465	118992862	308398
Y	ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134646949	134651513	134646949	134651513	4565	134651514	134671238	19725	134637585	134646948	9364
N	ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147149260	147152261	147149260	147152261	3002	147143420	147149259	5840	147152262	147226948	74687
Y	ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151890652	151890722	151890652	151890722	71	151881164	151890651	9488	151890723	151897279	6557
