susannes_file_line_index	transcript	exon	chrom	exonStart	exonEnd
1	ENSPTRT00000046470	ENSPTRG00000000114_ex2/2	chr1	+	9493302	9495382
2	ENSPTRT00000043749	ENSPTRG00000000122_ex1/6	chr1	-	9999460	10000137
3	ENSPTRT00000000441	ENSPTRG00000000208_ex9/9	chr1	+	15995053	15995870
4	ENSPTRT00000000518	ENSPTRG00000000251_ex1/1	chr1	+	18526857	18531906
5	ENSPTRT00000000570	ENSPTRG00000000289_ex1/1	chr1	+	20659318	20661888
7	ENSPTRT00000001523	ENSPTRG00000000806_ex44/44	chr1	+	63274340	63274368
8	ENSPTRT00000001618	ENSPTRG00000000853_ex1/13	chr1	-	71498834	71499807
9	ENSPTRT00000001632	ENSPTRG00000000857_ex1/7	chr1	-	72639233	72639358
10	ENSPTRT00000059064	ENSPTRG00000000891_ex3/4	chr1	+	79893474	79895155
11	ENSPTRT00000001796	ENSPTRG00000000952_ex1/17	chr1	-	93149095	93150507
12	ENSPTRT00000001813	ENSPTRG00000000962_ex1/18	chr1	-	93999485	93999800
13	ENSPTRT00000001862	ENSPTRG00000000993_ex1/6	chr1	-	100456276	100459134
14	ENSPTRT00000043353	ENSPTRG00000001007_ex16/16	chr1	+	102116582	102118608
16	ENSPTRT00000058950	ENSPTRG00000001023_ex9/9	chr1	+	109169178	109170392
17	ENSPTRT00000047368	ENSPTRG00000024134_ex1/13	chr1	-	120052792	120056512
18	ENSPTRT00000002178	ENSPTRG00000001172_ex9/9	chr1	+	118683535	118684464
19	ENSPTRT00000002338	ENSPTRG00000001262_ex1/7	chr1	-	129682497	129685018
20	ENSPTRT00000002341	ENSPTRG00000001264_ex1/8	chr1	-	129767457	129770167
22	ENSPTRT00000002622	ENSPTRG00000001425_ex27/29	chr1	-	134646949	134651513
23	ENSPTRT00000064035	ENSPTRG00000024131_ex5/5	chr1	+	147149260	147152261
24	ENSPTRT00000049851	ENSPTRG00000001684_ex21/21	chr1	+	151890652	151890722
25	ENSPTRT00000003067	ENSPTRG00000001692_ex1/3	chr1	-	152670433	152673569
29	ENSPTRT00000058198	ENSPTRG00000001978_ex7/7	chr1	+	195786129	195788368
30	ENSPTRT00000043883	ENSPTRG00000023622_ex1/7	chr1	-	197078233	197082179
32	ENSPTRT00000003663	ENSPTRG00000002015_ex1/1	chr1	+	204152368	204154413
33	ENSPTRT00000064911	ENSPTRG00000034279_ex1/1	chr1	+	213450659	213455555
34	ENSPTRT00000003898	ENSPTRG00000002133_ex1/4	chr1	-	216369694	216370827
35	ENSPTRT00000003950	ENSPTRG00000002160_ex1/2	chr1	-	221395244	221399148
36	ENSPTRT00000004013	ENSPTRG00000002189_ex8/8	chr1	+	227760227	227761653
38	ENSPTRT00000021671	ENSPTRG00000011629_ex6/6	chr2a	+	7058985	7061434
40	ENSPTRT00000021763	ENSPTRG00000011680_ex3/3	chr2a	+	18288870	18290878
