name	exon	chr	strand	start	end	div	callability
ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1	chr20	-	122396930	122399005	0.020568071	2042
ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4	chr20	+	121919035	121921621	0.02359882	2373
ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1	chr20	-	116518678	116520805	0.0	1744
ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13	chr20	+	62876438	62879492	0.0049636	3022
ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1	chr20	-	54659196	54663098	0.000611434	3271
ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17	chr20	+	41561873	41565343	0.018050542	3324
ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22	chr20	+	40746372	40746422	0.019607843	51
ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6	chr20	+	34416266	34419051	0.024963821	2764
ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1	chr20	-	32822745	32825059	0.015111111	2250
ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1	chr20	-	26112016	26112246	0.008658009	231
ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1	chr20	-	16201780	16201913	0.014925373	134
ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8	chr20	+	14867933	14871196	0.020436927	2838
ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2	chr20	+	8364862	8369426	0.007574019	4357
ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1	chr25	-	61245561	61249664	0.02548447	3767
ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1	chr25	-	56746214	56746284	0.0	71
ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3	chr25	+	55994189	55997374	0.0	3104
ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1	chr25	-	14340122	14342550	0.012987013	2387
ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7	chr25	+	13086772	13090733	0.008706786	3905
ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1	chr25	-	72728007	72728133	0.0	126
ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11	chr25	+	83703821	83706697	0.0	2544
ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1	chr14	-	100778301	100780858	0.008337193	2159
ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15	chr14	+	81912231	81914679	0.010213144	2252
ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1	chr14	+	81666792	81669089	0.012839506	2025
ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1	chr14	-	78804547	78804781	0.012765957	235
ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1	chr14	-	77280509	77280695	0.005347594	187
ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1	chr14	-	76872888	76876934	0.021036585	3280
ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1	chr14	-	75343326	75346698	0.018174635	2531
ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1	chr14	-	61026016	61026163	0.0	148
