#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames	relevantExonStart	relevantExonEnd
657	ENSPTRT00000046470	chr1	+	9481725	9495382	9481725	9493430	2	9481725,9493302,	9482395,9495382,	0	ENSPTRG00000000114	incmpl	cmpl	0,1,	9493302	9495382
661	ENSPTRT00000043749	chr1	-	9999460	10062596	10002191	10062596	6	9999460,10000427,10022407,10023189,10029102,10062429,	10000137,10002250,10022498,10023309,10029187,10062596,	0	ENSPTRG00000000122	cmpl	incmpl	-1,1,0,0,2,0,	9999460	10000137
88	ENSPTRT00000000441	chr1	+	15941940	15995870	15975510	15975753	9	15941940,15975019,15975490,15977887,15979030,15981362,15985567,15988106,15995053,	15941950,15975212,15975760,15978075,15979133,15981532,15985746,15988224,15995870,	0	ENSPTRG00000000208	cmpl	incmpl	-1,-1,0,-1,-1,-1,-1,-1,-1,	15995053	15995870
726	ENSPTRT00000000518	chr1	+	18526857	18531906	18526909	18529243	1	18526857,	18531906,	0	ENSPTRG00000000251	cmpl	cmpl	0,	18526857	18531906
742	ENSPTRT00000000570	chr1	+	20659318	20661888	20659854	20660844	1	20659318,	20661888,	0	ENSPTRG00000000289	cmpl	cmpl	0,	20659318	20661888
16	ENSPTRT00000001523	chr1	+	62840182	63274368	62862006	63274368	44	62840182,62861971,62862126,62865373,62868864,62871015,62875053,62887732,62891599,62895758,62897522,62901868,62905719,62908885,62924052,62928538,62934779,62957775,62964602,62967275,62978767,62988287,63005963,63007661,63014748,63020958,63034083,63097756,63127321,63148359,63161364,63191938,63197000,63213638,63221713,63227336,63229809,63230402,63234464,63236282,63241163,63242032,63261676,63274340,	62840261,62862028,62862293,62865568,62869004,62871211,62875182,62887951,62891699,62895850,62897664,62902015,62905796,62908942,62924187,62928700,62934911,62957985,62964719,62967671,62978891,62988459,63006035,63007839,63014859,63021036,63034183,63097953,63127413,63148432,63161457,63192056,63197134,63213728,63221797,63227530,63229957,63230489,63234579,63236320,63241286,63242137,63261783,63274368,	0	ENSPTRG00000000806	cmpl	cmpl	-1,0,1,0,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,2,0,0,1,0,0,0,2,0,0,1,0,0,0,2,	63274340	63274368
141	ENSPTRT00000001618	chr1	-	71498834	71594747	71499676	71594433	13	71498834,71507805,71511673,71513720,71531148,71534880,71540136,71545223,71553359,71555097,71564786,71575925,71594003,	71499807,71507906,71511772,71513800,71531310,71535012,71540281,71545290,71553405,71555183,71564891,71575967,71594747,	0	ENSPTRG00000000853	cmpl	cmpl	1,2,2,0,0,0,2,1,0,1,1,1,0,	71498834	71499807
17	ENSPTRT00000001632	chr1	-	72639233	73526926	72639233	73526926	7	72639233,72821908,72839509,72927727,73014958,73174657,73526750,	72639358,72822060,72839630,72927859,73015084,73174890,73526926,	0	ENSPTRG00000000857	cmpl	cmpl	1,2,1,1,1,2,0,	72639233	72639358
1194	ENSPTRT00000059064	chr1	+	79847158	79898314	79848859	79893756	4	79847158,79848787,79893474,79895698,	79847352,79849657,79895155,79898314,	0	ENSPTRG00000000891	cmpl	cmpl	-1,0,0,-1,	79893474	79895155
20	ENSPTRT00000001796	chr1	-	93149095	93358142	93150388	93331528	17	93149095,93162324,93164772,93175336,93178915,93182912,93183244,93185919,93186500,93188918,93194619,93196754,93201773,93226326,93266038,93331467,93357921,	93150507,93162432,93164814,93175457,93179215,93183071,93183385,93186072,93186841,93189108,93194767,93196923,93201957,93226464,93266223,93331641,93358142,	0	ENSPTRG00000000952	cmpl	cmpl	1,1,1,0,0,0,0,0,1,0,2,1,0,0,1,0,-1,	93149095	93150507
