human_range	vervet_range	#_blocks	overlap?	human_block(s)_positions	vervet_block(s)_positions	gene_duplicates	source_listings
9367448-9369532	122396930-122399005	1	NA	(9041821, 9455173)	(122310717, 122709737)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
9848276-9850776	121919035-121921621	1	NA	(9750524, 10009182)	(121761736, 122016282)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
15784548-15786589	116518678-116520805	2	continuous	(15767398, 15784549), (15784550, 15816754)	(), ()	(H), (H)	(homo_sapiens.1-), (homo_sapiens.1-)
70259002-70262847	62876438-62879492	1	NA	(70005555, 70348843)	(62797080, 63136351)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
78536406-78540701	54659196-54663098	2	continuous	(78329941, 78536584), (78536585, 78602621)	(54662920, 54866702), (54601455, 54662919)	(H, V, C), (H, V)	(homo_sapiens.1-, chlorocebus_sabaeus.20+, callithrix_jacchus.NTIC01036611.1+), (homo_sapiens.1+, chlorocebus_sabaeus.20-)
91680343-91683857	41561873-41565343	1	NA	(91421980, 91886230)	(41353226, 41822131)	(H, V, C)	(homo_sapiens.1-, chlorocebus_sabaeus.20+, callithrix_jacchus.NTIC01036611.1+)
92508696-92513970	40746372-40746422	1	NA	(92289016, 92571737)	(40693236, 40967249)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
98890245-98893104	34416266-34419051	1	NA	(98778286, 98949779)	(34357041, 34513488)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
100518251-100520277	32822745-32825059	1	NA	(100065645, 100521602)	(32821701, 33267107)	(H, V, C)	(homo_sapiens.1-, chlorocebus_sabaeus.20+, callithrix_jacchus.NTIC01036611.1-)
107480611-107484899	26112016-26112246	1	NA	(107071150, 107677989)	(25924637, 26539945)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1+)
117522825-117525698	16201780-16201913	1	NA	(117406954, 117943864)	(15788710, 16324768)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
118883043-118885516	14867933-14871196	1	NA	(118827127, 119342052)	(14431124, 14914620)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01036611.1-)
155477886-155482449	8364862-8369426	1	NA	(155438325, 155521114)	(8323008, 8409288)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.20-, callithrix_jacchus.NTIC01013335.1-)
167787820-167791919	61245561-61249664	1	NA	(167243410, 167799297)	(61237888, 61778169)	(H, V, C)	(homo_sapiens.1-, chlorocebus_sabaeus.25+, callithrix_jacchus.NTIC01013335.1-)
172407772-172412717	56746214-56746284	1	NA	(172348586, 172885433)	(56271783, 56802643)	(H, V, C)	(homo_sapiens.1-, chlorocebus_sabaeus.25+, callithrix_jacchus.NTIC01013335.1-)
173183731-173186865	55994189-55997374	1	NA	(173058770, 173205607)	(55976250, 56098422)	(H, V)	(homo_sapiens.1+, chlorocebus_sabaeus.25-)
215234828-215237093	14340122-14342550	1	NA	(215047803, 215519239)	(14062107, 14522342)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.25-, callithrix_jacchus.NTIC01010001.1-)
216503246-216507183	13086772-13090733	1	NA	(216217445, 216784948)	(12806175, 13374222)	(H, V, C)	(homo_sapiens.1+, chlorocebus_sabaeus.25-, callithrix_jacchus.NTIC01010001.1-)
235547685-235552237	72728007-72728133	1	NA	(235244368, 235559018)	(72418707, 72735158)	(H, V, C)	(homo_sapiens.1-, chlorocebus_sabaeus.25-, callithrix_jacchus.NTIC01010001.1+)
246665700-246668582	83703821-83706697	0	NA				
6895778-6898232	100778301-100780858	1	NA	(6674721, 7090224)	(100596589, 100989308)	(H, V, C)	(homo_sapiens.2-, chlorocebus_sabaeus.14+, callithrix_jacchus.NTIC01005557.1+)
