#	gene	chrom	exon_type	strand	exon_len	exon_start	exon_end	intergenic_5p_start	intergenic_5p_end	intergenic_3p_start	intergenic_3p_end	intergenic_5p_len	intergenic_3p_len	5p_end	5p_elements	3p_end	3p_elements	rec_region_start	rec_region_end	avg_rec_rate	numbp50	numbp75	length_5p	length_3p	divergence
1	FNDC10	chr1	protein_coding	-	2089	1598008	1600096	1600097	1615414	1574883	1598007	15318	23125	NA	none	NA	none	1575724	1709986	1.741705556	1856	11765	15318	23125	0.000957396
2	SPSB1	chr1	protein_coding	+	2085	9367448	9369532	9356586	9367447	9369533	9425093	10862	55561	NA	none	NA	none	9364650	9377753	1.423344154	2511	14031	10862	55561	0.001918465
3	CTNNBIP1	chr1	protein_coding	-	2501	9848276	9850776	9850777	9871186	9824527	9848275	20410	23749	NA	none	NA	none	9844093	9856859	3.224856297	718	6943	20410	23749	0.00159936
4	FBLIM1	chr1	protein_coding	+	2042	15784548	15786589	15777288	15784547	15786590	15792726	7260	6137	NA	none	NA	none	15780028	15787962	2.878658023	771	7208	7260	6137	0.001469148
5	KLHDC7A	chr1	protein_coding	+	5070	18480930	18485999	18378484	18480929	18486000	18513005	102446	27006	NA	none	NA	none	18451854	18551293	2.255935463	2065	12564	102446	27006	0.003747535
6	FAM43B	chr1	protein_coding	+	2582	20552439	20555020	20526811	20552438	20555021	20588950	25628	33930	NA	none	NA	none	20545343	20562698	2.202489064	1421	10111	25628	33930	0.001549187
7	HTR1D	chr1	protein_coding	-	2835	23191895	23194729	23194730	23244728	23168859	23191894	49999	23036	NA	none	NA	none	23191912	23194719	0.89261819	5072	21726	49999	23036	0.002116402
8	PATJ	chr1	protein_coding	+	3013	62160908	62163920	62148391	62160907	62163921	62189096	12517	25176	NA	none	NA	none	62160359	62169602	2.126461502	1639	10966	12517	25176	0.000995685
9	ANKRD13C	chr1	protein_coding	-	3846	70259002	70262847	70262848	70270855	70252021	70259001	8008	6981	NA	none	NA	none	70250872	70272567	4.308309089	611	6389	8008	6981	0.000520021
10	NEGR1	chr1	protein_coding	-	4629	71402942	71407570	71407571	71592816	71237724	71402941	185246	165218	NA	none	NA	none	71401559	71409445	1.728477446	2778	14931	185246	165218	0.001944264
11	PTGFR	chr1	protein_coding	+	4296	78536406	78540701	78497945	78536405	78540702	78620381	38461	79680	NA	none	NA	none	78536013	78542415	4.691736925	583	6245	38461	79680	0.003026071
12	TGFBR3	chr1	protein_coding	-	3515	91680343	91683857	91683858	91695671	91644342	91680342	11814	36001	NA	none	NA	none	91678954	91702146	5.890760248	306	4428	11814	36001	0.00056899
13	EVI5	chr1	protein_coding	-	5275	92508696	92513970	92513971	92563641	92486877	92508695	49671	21819	NA	none	NA	none	92503777	92515359	1.477188719	3607	17504	49671	21819	0.000568828
14	PLPPR5	chr1	protein_coding	-	2860	98890245	98893104	98893105	98914785	98760501	98890244	21681	129744	NA	none	NA	none	98888935	98893540	1.908158296	1876	11843	21681	129744	0.001048951
15	CDC14A	chr1	protein_coding	+	2027	100518251	100520277	100504938	100518250	100520278	100538171	13313	17894	NA	none	NA	none	100501607	100524621	1.575624531	2138	12768	13313	17894	0.00098668
16	PRMT6	chr1	protein_coding	+	2650	107056645	107059294	105891477	107056644	107059295	107139917	1165168	80623	106435745	phastConsE-106434321-106435745	NA	none	107054152	107059726	0.501917799	9229	33361	1165168	80623	0.001510004
17	NTNG1	chr1	protein_coding	+	4289	107480611	107484899	107436800	107480610	107484900	107505127	43811	20228	NA	none	NA	none	107480739	107484899	1.233603696	4049	18792	43811	20228	0.000233155
18	MAN1A2	chr1	protein_coding	+	2874	117522825	117525698	117502971	117522824	117525699	117596831	19854	71133	NA	none	NA	none	117523037	117525418	1.245883864	3395	16828	19854	71133	0.001391788
19	TBX15	chr1	protein_coding	-	2474	118883043	118885516	118885517	118899027	118713865	118883042	13511	169178	NA	none	NA	none	118879490	118895349	3.094724832	769	7205	13511	169178	0.000404204
20	GOLPH3L	chr1	protein_coding	-	2524	150646225	150648748	150648749	150661813	150629623	150646224	13065	16602	NA	none	NA	none	150646335	150648657	1.3912437	2788	14933	13065	16602	0.000396197
21	CTSS	chr1	protein_coding	-	2950	150730196	150733145	150733146	150747776	150720889	150730195	14631	9307	NA	none	NA	none	150725234	150735346	1.702964275	2249	13155	14631	9307	0.001016949
22	KPRP	chr1	protein_coding	+	2493	152759561	152762053	152720430	152759560	152762054	152776371	39131	14318	NA	none	NA	none	152758952	152767757	1.643533531	2190	12948	39131	14318	0.001604493
23	ASH1L	chr1	protein_coding	-	4564	155477886	155482449	155482450	155521099	155459899	155477885	38650	17987	NA	none	NA	none	155477924	155482442	2.525201122	1648	11034	38650	17987	0.000438212
24	MPZL1	chr1	protein_coding	+	4100	167787820	167791919	167776167	167787819	167791920	167809387	11653	17468	NA	none	NA	none	167787851	167791862	1.727129759	2606	14365	11653	17468	0.000243902
25	DNM3	chr1	protein_coding	+	4946	172407772	172412717	172388810	172407771	172412718	172420687	18962	7970	NA	none	NA	none	172407860	172412258	3.016054308	1347	9863	18962	7970	0.001213101
26	TNFSF4	chr1	protein_coding	-	3135	173183731	173186865	173186866	173205310	173142373	173183730	18445	41358	NA	none	NA	none	173183827	173186727	1.142885485	3910	18372	18445	41358	0.000318979
27	KIAA0040	chr1	protein_coding	-	4160	175156987	175161146	175161147	175166561	175148067	175156986	5415	8920	NA	none	NA	none	175157087	175161108	7.962897792	200	3565	5415	8920	0.000240385
28	IER5	chr1	protein_coding	+	2342	181088502	181090843	181061939	181088501	181090844	181174483	26563	83640	NA	none	NA	none	181088736	181090624	1.251902932	3130	16013	26563	83640	0.001708672
29	LRRN2	chr1	protein_coding	-	3046	204617173	204620218	204620219	204682869	204558121	204617172	62651	59052	NA	none	NA	none	204617463	204619973	1.3165534	3235	16339	62651	59052	0.001313198
30	KCNK2	chr1	protein_coding	+	2266	215234828	215237093	215195093	215234827	215237094	215376497	39735	139404	215383392	phastConsE-215382688-215383392	NA	none	215235436	215236057	3.659593333	520	5835	39735	139404	0
31	ESRRG	chr1	protein_coding	-	3938	216503246	216507183	216507184	216519151	216423397	216503245	11968	79849	NA	none	NA	none	216504008	216506575	1.540454	2963	15504	11968	79849	0.001015744
32	TLR5	chr1	protein_coding	-	3630	223109406	223113035	223113036	223132474	223005996	223109405	19439	103410	NA	none	NA	none	223042561	223159936	1.43395	3126	16007	19439	103410	0.000826446
33	CCDC185	chr1	protein_coding	+	2098	223393373	223395470	223364203	223393372	223395471	223541608	29170	146138	NA	none	NA	none	223393674	223394461	1.71187525	1911	11961	29170	146138	0.000953289
34	EGLN1	chr1	protein_coding	-	4047	231420998	231425044	231425045	231475761	231374100	231420997	50717	46898	NA	none	NA	none	231420917	231425432	3.307143	1000	8350	50717	46898	0.001235483
35	MAP10	chr1	protein_coding	+	5455	232804892	232810346	232742716	232804891	232810347	232950530	62176	140184	NA	none	NA	none	232805116	232810134	0.511693375	11009	38292	62176	140184	0.001099908
36	GNG4	chr1	protein_coding	-	4553	235547685	235552237	235552238	235583739	235504482	235547684	31502	43203	NA	none	NA	none	235547849	235552223	2.427366182	1741	11381	31502	43203	0.002415989
37	GREM2	chr1	protein_coding	-	3904	240489573	240493476	240493477	240611883	240475190	240489572	118407	14383	NA	none	NA	none	240489647	240492044	3.571878333	856	7665	118407	14383	0.001536885
38	CNST	chr1	protein_coding	+	2883	246665700	246668582	246660335	246665699	246668583	246724075	5365	55493	NA	none	NA	none	246666314	246668054	3.449574	709	6901	5365	55493	0.002774887
39	TRIM58	chr1	protein_coding	+	4239	247875900	247880138	247868064	247875899	247880139	247895586	7836	15448	NA	none	NA	none	247875992	247880043	2.50450375	1587	10793	7836	15448	0.001179523
40	RSAD2	chr2	protein_coding	+	2455	6895778	6898232	6890326	6895777	6898233	6912275	5452	14043	NA	none	NA	none	6870151	7068829	6.499692334	160	3145	5452	14043	0.002443992
41	KCNF1	chr2	protein_coding	+	2289	10911937	10914225	10885119	10911936	10914226	11099850	26818	185625	NA	none	NA	none	10910138	10915803	4.080177828	420	5207	26818	185625	0
42	KCNS3	chr2	protein_coding	+	2009	17930950	17932958	17917872	17930949	17932959	18554722	13078	621764	NA	none	18475570	phastConsE-18475570-18476257	17874564	18041810	1.582081549	2118	12696	13078	621764	0.00149328
43	RHOB	chr2	protein_coding	+	2375	20447071	20449445	20350851	20447070	20449446	20529395	96220	79950	NA	none	NA	none	20427072	20648383	1.695630928	2046	12447	96220	79950	0.002105263
44	ASXL2	chr2	protein_coding	-	5093	25739384	25744476	25744477	25749695	25673648	25739383	5219	65736	NA	none	NA	none	25739400	25744385	4.441081307	753	7183	5219	65736	0.002159827
45	KIF3C	chr2	protein_coding	-	2202	25980373	25982574	25982575	25994677	25956445	25980372	12103	23928	NA	none	NA	none	25976763	25984556	2.063602461	1450	10225	12103	23928	0.000454133
46	PPP1CB	chr2	protein_coding	+	3742	28799199	28802940	28793998	28799198	28802941	28810833	5201	7893	NA	none	NA	none	28796865	28807532	4.219737308	618	6426	5201	7893	0.000534474
47	C2orf71	chr2	protein_coding	-	3378	29061690	29065067	29065068	29070593	29052231	29061689	5526	9459	NA	none	NA	none	29061246	29067111	3.919322639	643	6558	5526	9459	0.001184133
48	LBH	chr2	protein_coding	+	2601	30257433	30260033	30234508	30257432	30260034	30346645	22925	86612	NA	none	NA	none	30150376	30382970	1.014490808	4243	19349	22925	86612	0.000768935
49	LCLAT1	chr2	protein_coding	+	4109	30640117	30644225	30568177	30640116	30644226	30722770	71940	78545	NA	none	NA	none	30382970	30693895	1.189180752	4151	19086	71940	78545	0.001216841
