#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
189	ENSCSAT00000017767.1	chr20	-	122396930	122474190	122398877	122409902	3	122396930,122409208,122473976,	122399005,122410050,122474190,	0	ENSCSAG00000000767.1	cmpl	cmpl	1,0,-1,
189	ENSCSAT00000017762.1	chr20	+	121892414	121921621	121898286	121919094	4	121892414,121898262,121899076,121919035,	121892499,121898382,121899167,121921621,	0	ENSCSAG00000000772.1	cmpl	cmpl	-1,0,0,1,
184	ENSCSAT00000017693.1	chr20	-	116518678	116546280	116520691	116540402	8	116518678,116527065,116528483,116532941,116534856,116535898,116540152,116545779,	116520805,116527183,116528662,116533111,116534959,116536086,116540893,116546280,	0	ENSCSAG00000000840.1	cmpl	cmpl	0,2,0,1,0,1,0,-1,
1064	ENSCSAT00000017157.1	chr20	+	62791170	62879492	62791522	62876569	13	62791170,62811385,62822772,62831702,62833582,62838350,62842966,62847241,62850906,62864599,62866619,62870487,62876438,	62791952,62811427,62822877,62831788,62833628,62838417,62843111,62847373,62851068,62864679,62866718,62870588,62879492,	0	ENSCSAG00000001376.1	cmpl	cmpl	0,1,1,1,0,1,2,0,0,0,2,2,1,
1002	ENSCSAT00000017127.1	chr20	-	54659196	54704452	54662816	54704421	2	54659196,54703623,	54663098,54704452,	0	ENSCSAG00000001406.1	cmpl	cmpl	0,0,
112	ENSCSAT00000017072.1	chr20	+	41353324	41565343	41377580	41561992	17	41353324,41377498,41448805,41487374,41511083,41516034,41518066,41523759,41525671,41526431,41528534,41528845,41532696,41536496,41546971,41549348,41561873,	41353578,41377668,41448990,41487512,41511267,41516203,41518214,41523949,41526009,41526584,41528675,41529004,41532996,41536617,41547013,41549456,41565343,	0	ENSCSAG00000001461.1	cmpl	cmpl	-1,0,1,0,0,1,2,0,1,0,0,0,0,0,1,1,1,
111	ENSCSAT00000017063.1	chr20	+	40470910	40746422	40551569	40746422	22	40470910,40529810,40551557,40561321,40562433,40564150,40568413,40571287,40572359,40572852,40591022,40603460,40606004,40606589,40642384,40646991,40648572,40664069,40666397,40699939,40722801,40746372,	40471404,40530040,40551583,40561511,40562658,40564225,40568539,40571431,40572449,40572950,40591083,40603514,40606037,40606736,40642519,40647132,40648731,40664216,40666493,40700035,40722814,40746422,	0	ENSCSAG00000001470.1	cmpl	cmpl	-1,-1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,
105	ENSCSAT00000017036.1	chr20	+	34302818	34419051	34302827	34416299	6	34302818,34350085,34353498,34386776,34394148,34416266,	34303064,34350218,34353749,34386953,34394268,34419051,	0	ENSCSAG00000001497.1	cmpl	cmpl	0,0,1,0,0,0,
104	ENSCSAT00000017023.1	chr20	-	32822745	32986718	32825029	32986230	16	32822745,32844082,32845131,32847325,32848438,32858803,32874318,32879636,32887158,32899891,32902728,32918320,32951701,32965024,32985336,32986181,	32825059,32844416,32845254,32847373,32848554,32858963,32874457,32879867,32887246,32899954,32902795,32918400,32951794,32965100,32985427,32986718,	0	ENSCSAG00000001510.1	cmpl	cmpl	0,2,2,2,0,2,1,1,0,0,2,0,0,2,1,0,
12	ENSCSAT00000017010.1	chr20	-	26112016	26275352	26112016	26275352	6	26112016,26157508,26163416,26186897,26199568,26274711,	26112246,26157643,26163584,26186924,26199741,26275352,	0	ENSCSAG00000001523.1	cmpl	incmpl	1,1,1,1,2,0,
88	ENSCSAT00000016828.1	chr20	-	16201780	16364962	16201780	16363968	13	16201780,16222832,16226067,16228747,16232380,16266885,16272622,16290772,16310847,16316669,16326085,16329348,16363666,	16201913,16222948,16226240,16228967,16232496,16266979,16272746,16290867,16310928,16316788,16326182,16329604,16364962,	0	ENSCSAG00000001702.1	cmpl	cmpl	2,0,1,0,1,0,2,0,0,1,0,2,0,
698	ENSCSAT00000016817.1	chr20	+	14818524	14871196	14818768	14868718	8	14818524,14820079,14825410,14827199,14828430,14839336,14854379,14867933,	14818802,14820293,14825512,14827371,14828598,14839401,14854477,14871196,	0	ENSCSAG00000001712.1	cmpl	cmpl	0,1,2,2,0,0,2,1,
1	ENSCSAT00000000042.1	chr20	+	8322503	8500129	8322602	8497594	27	8322503,8364862,8388528,8408544,8426460,8443089,8456249,8457816,8457975,8463991,8464324,8474307,8476974,8477311,8480362,8482144,8485710,8485847,8487408,8488837,8491057,8491588,8491842,8493199,8495636,8496862,8497502,	8323022,8369426,8388630,8409286,8426640,8443184,8456323,8457862,8458084,8464198,8464471,8474416,8477139,8477406,8480520,8482297,8485765,8485980,8487657,8488924,8491148,8491727,8492015,8493366,8495677,8497164,8500129,	0	ENSCSAG00000002027.1	cmpl	cmpl	0,0,1,1,2,2,1,0,1,2,2,2,0,0,2,1,1,2,0,0,0,1,2,1,0,2,1,
1052	ENSCSAT00000009036.1	chr25	-	61245561	61309881	61249562	61309245	6	61245561,61259195,61262004,61263190,61269098,61309154,	61249664,61259298,61262137,61263404,61269265,61309881,	0	ENSCSAG00000010949.1	cmpl	cmpl	0,2,1,0,1,0,
127	ENSCSAT00000009746.1	chr25	-	56746214	57285498	56746214	57285387	21	56746214,56765334,56766487,56774654,56836745,56894389,57009230,57045744,57046596,57057865,57071411,57086508,57090613,57092947,57097376,57101129,57101889,57142808,57144149,57205914,57285226,	56746284,56765571,56766714,56774819,56836857,56894499,57009344,57045774,57046648,57057936,57071498,57086647,57090681,57093083,57097519,57101290,57101988,57143012,57144299,57205988,57285498,	0	ENSCSAG00000011661.1	cmpl	cmpl	2,2,0,0,2,0,0,0,2,0,0,2,0,2,0,1,1,1,1,2,0,
1012	ENSCSAT00000009804.1	chr25	+	55974690	55997374	55974690	55994539	3	55974690,55992464,55994189,	55974843,55992513,55997374,	0	ENSCSAG00000011720.1	cmpl	cmpl	0,0,1,
