susannes_file_line_index	transcript	exon	chrom	exonStart	exonEnd
1	ENSCSAT00000017767.1	ENSCSAG00000000767.1_ex1/3	chr20	-	122396930	122399005
2	ENSCSAT00000017762.1	ENSCSAG00000000772.1_ex4/4	chr20	+	121919035	121921621
3	ENSCSAT00000017693.1	ENSCSAG00000000840.1_ex1/8	chr20	-	116518678	116520805
8	ENSCSAT00000017157.1	ENSCSAG00000001376.1_ex13/13	chr20	+	62876438	62879492
10	ENSCSAT00000017127.1	ENSCSAG00000001406.1_ex1/2	chr20	-	54659196	54663098
11	ENSCSAT00000017072.1	ENSCSAG00000001461.1_ex17/17	chr20	+	41561873	41565343
12	ENSCSAT00000017063.1	ENSCSAG00000001470.1_ex22/22	chr20	+	40746372	40746422
13	ENSCSAT00000017036.1	ENSCSAG00000001497.1_ex6/6	chr20	+	34416266	34419051
14	ENSCSAT00000017023.1	ENSCSAG00000001510.1_ex1/16	chr20	-	32822745	32825059
16	ENSCSAT00000017010.1	ENSCSAG00000001523.1_ex1/6	chr20	-	26112016	26112246
17	ENSCSAT00000016828.1	ENSCSAG00000001702.1_ex1/13	chr20	-	16201780	16201913
18	ENSCSAT00000016817.1	ENSCSAG00000001712.1_ex8/8	chr20	+	14867933	14871196
22	ENSCSAT00000000042.1	ENSCSAG00000002027.1_ex2/27	chr20	+	8364862	8369426
23	ENSCSAT00000009036.1	ENSCSAG00000010949.1_ex1/6	chr25	-	61245561	61249664
24	ENSCSAT00000009746.1	ENSCSAG00000011661.1_ex1/21	chr25	-	56746214	56746284
25	ENSCSAT00000009804.1	ENSCSAG00000011720.1_ex3/3	chr25	+	55994189	55997374
29	ENSCSAT00000013654.1	ENSCSAG00000015559.1_ex1/7	chr25	-	14340122	14342550
30	ENSCSAT00000013773.1	ENSCSAG00000015679.1_ex7/7	chr25	+	13086772	13090733
34	ENSCSAT00000008139.1	ENSCSAG00000010055.1_ex1/2	chr25	-	72728007	72728133
36	ENSCSAT00000007195.1	ENSCSAG00000009127.1_ex11/11	chr25	+	83703821	83706697
37	ENSCSAT00000007022.1	ENSCSAG00000008954.1_ex6/6	chr25	+	84860611	84865186
38	ENSCSAT00000005091.1	ENSCSAG00000007051.1_ex1/6	chr14	-	100778301	100780858
42	ENSCSAT00000006683.1	ENSCSAG00000008663.1_ex15/15	chr14	+	81912231	81914679
43	ENSCSAT00000006749.1	ENSCSAG00000008688.1_ex1/8	chr14	+	81666792	81669089
44	ENSCSAT00000008728.1	ENSCSAG00000010645.1_ex1/8	chr14	-	78804547	78804781
46	ENSCSAT00000009198.1	ENSCSAG00000011112.1_ex1/3	chr14	-	77280509	77280695
47	ENSCSAT00000009212.1	ENSCSAG00000011124.1_ex1/7	chr14	-	76872888	76876934
48	ENSCSAT00000009593.1	ENSCSAG00000011510.1_ex1/17	chr14	-	75343326	75346698
50	ENSCSAT00000011451.1	ENSCSAG00000013435.1_ex1/13	chr14	-	61026016	61026163
51	ENSCSAT00000012982.1	ENSCSAG00000014912.1_ex1/10	chr14	-	38540083	38540286
52	ENSCSAT00000013063.1	ENSCSAG00000014972.1_ex1/18	chr14	-	37877435	37881400
53	ENSCSAT00000013415.1	ENSCSAG00000015340.1_ex14/14	chr14	+	34221666	34221744
54	ENSCSAT00000013611.1	ENSCSAG00000015514.1_ex9/12	chr14	-	33230870	33233004
55	ENSCSAT00000014442.1	ENSCSAG00000016352.1_ex3/3	chr14	+	20555190	20557849
56	ENSCSAT00000015081.1	ENSCSAG00000016986.1_ex9/9	chr14	+	13027328	13030464
57	ENSCSAT00000014624.1	ENSCSAG00000016529.1_ex24/24	chr10	+	12380291	12380363
58	ENSCSAT00000014364.1	ENSCSAG00000016269.1_ex1/2	chr10	-	24032901	24035323
59	ENSCSAT00000014066.1	ENSCSAG00000015970.1_ex3/3	chr10	+	40255062	40255646
60	ENSCSAT00000010124.1	ENSCSAG00000012033.1_ex1/2	chr10	-	77371173	77373825
61	ENSCSAT00000009468.1	ENSCSAG00000011380.1_ex1/11	chr10	-	84761425	84764672
62	ENSCSAT00000008355.1	ENSCSAG00000010270.1_ex20/20	chr10	+	91389360	91389718
64	ENSCSAT00000004285.1	ENSCSAG00000006235.1_ex2/4	chr10	+	121060546	121062906
66	ENSCSAT00000008871.1	ENSCSAG00000010783.1_ex1/13	chr22	-	44875291	44879611
68	ENSCSAT00000007291.1	ENSCSAG00000009224.1_ex2/21	chr22	+	50754709	50757341
69	ENSCSAT00000007844.1	ENSCSAG00000009757.1_ex8/8	chr15	+	68665061	68665258
71	ENSCSAT00000014807.1	ENSCSAG00000016711.1_ex2/3	chr22	-	4522598	4524251
72	ENSCSAT00000014749.1	ENSCSAG00000016664.1_ex10/10	chr22	+	5833159	5833400
74	ENSCSAT00000014694.1	ENSCSAG00000016604.1_ex3/3	chr22	+	6135268	6136515
75	ENSCSAT00000004314.1	ENSCSAG00000006281.1_ex1/10	chr22	-	78406587	78406763
76	ENSCSAT00000004336.1	ENSCSAG00000006301.1_ex19/19	chr22	+	75178288	75178548
79	ENSCSAT00000009594.1	ENSCSAG00000011508.1_ex6/6	chr15	+	41189518	41193268
80	ENSCSAT00000009600.1	ENSCSAG00000011515.1_ex5/5	chr15	+	40963491	40966890
81	ENSCSAT00000010072.1	ENSCSAG00000011987.1_ex1/20	chr15	-	35580713	35580813
82	ENSCSAT00000018984.1	ENSCSAG00000018894.1_ex1/1	chr15	-	30608490	30609234
83	ENSCSAT00000010888.1	ENSCSAG00000012797.1_ex1/26	chr15	-	17059958	17063674
84	ENSCSAT00000012067.1	ENSCSAG00000013974.1_ex2/2	chr15	+	4337059	4337613
86	ENSCSAT00000007004.1	ENSCSAG00000008934.1_ex1/2	chr15	-	86891382	86894221
87	ENSCSAT00000006679.1	ENSCSAG00000008621.1_ex1/3	chr15	-	90629329	90634444
90	ENSCSAT00000014211.1	ENSCSAG00000016118.1_ex1/9	chr27	-	42449618	42452654
95	ENSCSAT00000015225.1	ENSCSAG00000017132.1_ex9/9	chr27	+	4218855	4219122
96	ENSCSAT00000002990.1	ENSCSAG00000004960.1_ex1/13	chr7	-	16340606	16343009
97	ENSCSAT00000003075.1	ENSCSAG00000005042.1_ex1/25	chr7	-	12585790	12587655
98	ENSCSAT00000003249.1	ENSCSAG00000005216.1_ex1/2	chr7	+	1207627	1208351
99	ENSCSAT00000002911.1	ENSCSAG00000004879.1_ex2/2	chr7	+	18988875	18989955
101	ENSCSAT00000002750.1	ENSCSAG00000004720.1_ex4/4	chr7	+	23578497	23582473
102	ENSCSAT00000002745.1	ENSCSAG00000004717.1_ex1/9	chr7	-	23989744	23989873
103	ENSCSAT00000002628.1	ENSCSAG00000004597.1_ex3/9	chr7	+	25238330	25241508
104	ENSCSAT00000018117.1	ENSCSAG00000000418.1_ex1/1	chr7	-	25397384	25399766
108	ENSCSAT00000002038.1	ENSCSAG00000004010.1_ex1/2	chr7	-	52527746	52531861
109	ENSCSAT00000001830.1	ENSCSAG00000003803.1_ex49/49	chr7	+	61172063	61175519
110	ENSCSAT00000001821.1	ENSCSAG00000003792.1_ex1/2	chr7	-	61712062	61713461
112	ENSCSAT00000001661.1	ENSCSAG00000003634.1_ex1/17	chr7	+	72500263	72504478
113	ENSCSAT00000001584.1	ENSCSAG00000003553.1_ex5/5	chr7	+	80225737	80225757
115	ENSCSAT00000001304.1	ENSCSAG00000003278.1_ex8/8	chr7	-	101034267	101036304
116	ENSCSAT00000001231.1	ENSCSAG00000003200.1_ex1/15	chr7	-	107857487	107860815
118	ENSCSAT00000001141.1	ENSCSAG00000003111.1_ex1/3	chr7	-	116193728	116199498
119	ENSCSAT00000001120.1	ENSCSAG00000003089.1_ex1/5	chr7	-	120739920	120740408
121	ENSCSAT00000001038.1	ENSCSAG00000003012.1_ex1/8	chr7	-	130060650	130060856
122	ENSCSAT00000015434.1	ENSCSAG00000017341.1_ex2/2	chr4	+	6177916	6178048
123	ENSCSAT00000015253.1	ENSCSAG00000017158.1_ex1/24	chr4	-	32757683	32761570
125	ENSCSAT00000014856.1	ENSCSAG00000016759.1_ex3/6	chr4	-	42225722	42225900
126	ENSCSAT00000014700.1	ENSCSAG00000016605.1_ex2/2	chr4	+	50807525	50811253
128	ENSCSAT00000014085.1	ENSCSAG00000015992.1_ex7/7	chr4	+	60552682	60557227
129	ENSCSAT00000014056.1	ENSCSAG00000015963.1_ex1/7	chr4	-	61338928	61342654
131	ENSCSAT00000013323.1	ENSCSAG00000015226.1_ex1/9	chr4	-	73589494	73594215
132	ENSCSAT00000013004.1	ENSCSAG00000014909.1_ex1/4	chr4	-	77156042	77160746
133	ENSCSAT00000012923.1	ENSCSAG00000014835.1_ex1/11	chr4	-	78047502	78050762
135	ENSCSAT00000013444.1	ENSCSAG00000015350.1_ex4/4	chr23	+	2364826	2369294
136	ENSCSAT00000013255.1	ENSCSAG00000015159.1_ex1/8	chr23	-	6526424	6529091
140	ENSCSAT00000010630.1	ENSCSAG00000012587.1_ex4/4	chr23	+	43638162	43638473
144	ENSCSAT00000008430.1	ENSCSAG00000010344.1_ex1/9	chr23	-	63637108	63637456
146	ENSCSAT00000006994.1	ENSCSAG00000008928.1_ex6/24	chr23	+	79218587	79221144
147	ENSCSAT00000006524.1	ENSCSAG00000008473.1_ex1/21	chr23	-	80852330	80856061
150	ENSCSAT00000005575.1	ENSCSAG00000007527.1_ex2/2	chr17	+	58782743	58783663
151	ENSCSAT00000005644.1	ENSCSAG00000007599.1_ex1/4	chr17	-	54853760	54855902
154	ENSCSAT00000005945.1	ENSCSAG00000007893.1_ex1/7	chr17	-	46268288	46271421
155	ENSCSAT00000008561.1	ENSCSAG00000010478.1_ex1/8	chr17	-	34751944	34754678
156	ENSCSAT00000010564.1	ENSCSAG00000012475.1_ex9/9	chr17	+	27358858	27361706
157	ENSCSAT00000010732.1	ENSCSAG00000012642.1_ex1/18	chr17	-	24663871	24667195
158	ENSCSAT00000011298.1	ENSCSAG00000013206.1_ex1/3	chr17	-	16582781	16588159
160	ENSCSAT00000015543.1	ENSCSAG00000017449.1_ex4/4	chr13	+	2618316	2619081
161	ENSCSAT00000012805.1	ENSCSAG00000014711.1_ex8/8	chr13	+	68703868	68707885
162	ENSCSAT00000012973.1	ENSCSAG00000014881.1_ex8/8	chr13	+	66702337	66704696
165	ENSCSAT00000014173.1	ENSCSAG00000016078.1_ex13/13	chr13	+	55067054	55070328
166	ENSCSAT00000014309.1	ENSCSAG00000016217.1_ex2/3	chr13	-	52398713	52399371
169	ENSCSAT00000014728.1	ENSCSAG00000016634.1_ex1/8	chr13	-	42270158	42272173
173	ENSCSAT00000015198.1	ENSCSAG00000017106.1_ex1/74	chr13	-	28354587	28356819
174	ENSCSAT00000015291.1	ENSCSAG00000017203.1_ex1/6	chr13	-	22597972	22598256
175	ENSCSAT00000015307.1	ENSCSAG00000017214.1_ex1/6	chr13	-	22234011	22236783
176	ENSCSAT00000011548.1	ENSCSAG00000013457.1_ex1/12	chr13	-	81691774	81691987
179	ENSCSAT00000015786.1	ENSCSAG00000017690.1_ex5/5	chr28	+	15863111	15867303
181	ENSCSAT00000011509.1	ENSCSAG00000013420.1_ex10/10	chr21	+	42008183	42010301
182	ENSCSAT00000011709.1	ENSCSAG00000013609.1_ex1/5	chr21	-	36747895	36752340
184	ENSCSAT00000012991.1	ENSCSAG00000014898.1_ex1/15	chr21	-	24255865	24257266
186	ENSCSAT00000016385.1	ENSCSAG00000018288.1_ex5/5	chr28	+	1862242	1864827
187	ENSCSAT00000016230.1	ENSCSAG00000018132.1_ex1/2	chr28	-	10462858	10466442
190	ENSCSAT00000010624.1	ENSCSAG00000012537.1_ex44/51	chr21	-	56999352	57001740
191	ENSCSAT00000015923.1	ENSCSAG00000017827.1_ex6/6	chr28	+	13192459	13195800
193	ENSCSAT00000009017.1	ENSCSAG00000010925.1_ex3/3	chr21	+	85203958	85206588
194	ENSCSAT00000008868.1	ENSCSAG00000010780.1_ex1/2	chr21	+	89092905	89094020
